bulk_gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,Symbol,ensemblID,gene_type,Class,MGI_Symbol,human_gene,gene_upper
ENSG00000163481.7,-0.176801420991714,3.32626873567063,-3.50518754087237,0.0010048044583151,0.22723265360411,-0.808598167497061,RNF25,ENSG00000163481,protein_coding,InGen,RNF25,RNF25,RNF25
ENSG00000116285.12,0.246323606643966,4.81792802567691,3.50401995261947,0.0010083062714344,0.22723265360411,-0.811450104219521,ERRFI1,ENSG00000116285,protein_coding,InGen,ERRFI1,ERRFI1,ERRFI1
ENSG00000107021.15,-0.143345456863644,5.20161556223743,-3.5026388842625,0.0010124633927167,0.22723265360411,-0.81482283192,TBC1D13,ENSG00000107021,protein_coding,InGen,TBC1D13,TBC1D13,TBC1D13
ENSG00000130052.13,0.413587962636088,3.02661938222241,3.49879044919368,0.0010241339727734,0.22723265360411,-0.824217415396249,STARD8,ENSG00000130052,protein_coding,InGen,STARD8,STARD8,STARD8
ENSG00000099725.14,0.287332625555161,2.30968800864171,3.49849437806325,0.0010250371237376,0.22723265360411,-0.824939939505034,PRKY,ENSG00000099725,transcribed_unprocessed_pseudogene,InGen,PRKY,PRKY,PRKY
ENSG00000068394.10,-0.143044972602375,4.95738545293577,-3.49845738593574,0.0010251500198837,0.22723265360411,-0.825030211816684,GPKOW,ENSG00000068394,protein_coding,InGen,GPKOW,GPKOW,GPKOW
ENSG00000227057.8,-0.163850372409016,3.80116959356458,-3.49743965622814,0.0010282606847657,0.22723265360411,-0.827513589517494,WDR46,ENSG00000227057,protein_coding,InGen,WDR46,WDR46,WDR46
ENSG00000227560.1,-0.461113482086432,-0.141665220003481,-3.49416594665262,0.0010383279085219,0.22723265360411,-0.835499201698395,RP11-139K1.2,ENSG00000227560,processed_pseudogene,InGen,RP11-139K1.2,RP11-139K1.2,RP11-139K1.2
ENSG00000273014.1,0.23923583485848,1.06268004489085,3.48896174330342,0.0010545256114032,0.22723265360411,-0.848185667883614,RP11-225B17.2,ENSG00000273014,lincRNA,InGen,RP11-225B17.2,RP11-225B17.2,RP11-225B17.2
ENSG00000013588.6,1.83111561605648,-1.57071125294104,3.48428516704285,0.0010692865533095,0.22723265360411,-0.85957727908694,GPRC5A,ENSG00000013588,protein_coding,InGen,GPRC5A,GPRC5A,GPRC5A
ENSG00000170542.5,0.328451454468658,3.97885302720161,3.4839730516259,0.0010702786863402,0.22723265360411,-0.860337265288305,SERPINB9,ENSG00000170542,protein_coding,InGen,SERPINB9,SERPINB9,SERPINB9
ENSG00000185133.13,0.39503281899813,3.83048286277984,3.48177193914384,0.0010773004225864,0.22723265360411,-0.865695831919491,INPP5J,ENSG00000185133,protein_coding,InGen,INPP5J,INPP5J,INPP5J
ENSG00000146122.16,-0.225568390607488,9.02431899782393,-3.48158931107047,0.0010778849919989,0.22723265360411,-0.866140354808062,DAAM2,ENSG00000146122,protein_coding,InGen,DAAM2,DAAM2,DAAM2
ENSG00000123213.22,-0.163020375594633,5.46490838558705,-3.48098792228848,0.0010798121012156,0.22723265360411,-0.867604066852438,NLN,ENSG00000123213,protein_coding,InGen,NLN,NLN,NLN
ENSG00000079150.17,0.380641144104734,0.595179404045324,3.47857557868349,0.001087575376538,0.22723265360411,-0.873474071578795,FKBP7,ENSG00000079150,protein_coding,InGen,FKBP7,FKBP7,FKBP7
ENSG00000140511.11,0.639570904807254,-0.17698097786301,3.47584592112739,0.0010964240161151,0.22723265360411,-0.88011356317137,HAPLN3,ENSG00000140511,protein_coding,InGen,HAPLN3,HAPLN3,HAPLN3
ENSG00000254995.4,-0.359604406764839,1.22590606346566,-3.4704253116951,0.0011141998075769,0.22723265360411,-0.893290076266689,STX16-NPEPL1,ENSG00000254995,protein_coding,InGen,STX16-NPEPL1,STX16-NPEPL1,STX16-NPEPL1
ENSG00000214954.8,0.274141636408715,0.478566641918968,3.46631763460474,0.0011278527883366,0.22723265360411,-0.903267699550158,LRRC69,ENSG00000214954,protein_coding,InGen,LRRC69,LRRC69,LRRC69
ENSG00000147454.13,0.223714689346275,4.88215326476302,3.46607805151008,0.001128654011443,0.22723265360411,-0.903849454281425,SLC25A37,ENSG00000147454,protein_coding,InGen,SLC25A37,SLC25A37,SLC25A37
ENSG00000273015.2,0.141002647236185,4.58448745206076,3.46272107362426,0.0011399377794941,0.22723265360411,-0.911998567835322,RP11-352M15.2,ENSG00000273015,lincRNA,InGen,RP11-352M15.2,RP11-352M15.2,RP11-352M15.2
ENSG00000179071.4,-0.686439512766916,0.158695281118846,-3.46246282534246,0.0011408102669843,0.22723265360411,-0.912625292395662,CCDC89,ENSG00000179071,protein_coding,InGen,CCDC89,CCDC89,CCDC89
ENSG00000182580.2,-0.328522957189767,3.64743163830155,-3.45462279116452,0.0011676027578306,0.22723265360411,-0.931639659658204,EPHB3,ENSG00000182580,protein_coding,InGen,EPHB3,EPHB3,EPHB3
ENSG00000125351.11,-0.168318723054278,3.6840249306134,-3.45258094507907,0.001174678373801,0.22723265360411,-0.936587892011895,UPF3B,ENSG00000125351,protein_coding,InGen,UPF3B,UPF3B,UPF3B
ENSG00000186567.12,0.417378908262061,1.01832823814195,3.45204790834851,0.0011765322231761,0.22723265360411,-0.937879397467085,CEACAM19,ENSG00000186567,protein_coding,InGen,CEACAM19,CEACAM19,CEACAM19
ENSG00000222112.1,0.457058854288725,-0.0042665586850543,3.45153962970478,0.0011783025630728,0.22723265360411,-0.939110815101042,RN7SKP16,ENSG00000222112,misc_RNA,InGen,RN7SKP16,RN7SKP16,RN7SKP16
ENSG00000103196.11,0.767515718189305,2.94860892620148,3.42791387720776,0.0012634504646878,0.229723201399406,-0.996240204262227,CRISPLD2,ENSG00000103196,protein_coding,InGen,CRISPLD2,CRISPLD2,CRISPLD2
ENSG00000105700.10,-0.127164313201318,4.79387056368751,-3.4242606744859,0.0012771287978386,0.229723201399406,-1.00505482220861,KXD1,ENSG00000105700,protein_coding,InGen,KXD1,KXD1,KXD1
ENSG00000104863.11,-0.234797917297901,3.00232947938043,-3.42374169738433,0.0012790833532708,0.229723201399406,-1.00630661548917,LIN7B,ENSG00000104863,protein_coding,InGen,LIN7B,LIN7B,LIN7B
ENSG00000026103.20,0.564270963695485,1.65464759157325,3.42237959223,0.0012842268266121,0.229723201399406,-1.00959157080037,FAS,ENSG00000026103,protein_coding,InGen,FAS,FAS,FAS
ENSG00000251602.6,-0.348014940609638,1.21873357585379,-3.42223656430794,0.0012847680582141,0.229723201399406,-1.00993646600115,RP11-521B24.3,ENSG00000251602,antisense,InGen,RP11-521B24.3,RP11-521B24.3,RP11-521B24.3
ENSG00000203761.5,-0.365059025910238,1.14261963483922,-3.42016732942647,0.0012926225816455,0.229723201399406,-1.01492529797593,MSTO2P,ENSG00000203761,unprocessed_pseudogene,InGen,MSTO2P,MSTO2P,MSTO2P
ENSG00000157110.15,0.480395497203336,3.07017783285606,3.41924259525992,0.0012961475016168,0.229723201399406,-1.01715425340233,RBPMS,ENSG00000157110,protein_coding,InGen,RBPMS,RBPMS,RBPMS
ENSG00000132781.17,-0.189311130833011,3.42263150572475,-3.41566655494273,0.0013098650205929,0.229723201399406,-1.02577072389483,MUTYH,ENSG00000132781,protein_coding,InGen,MUTYH,MUTYH,MUTYH
ENSG00000139287.12,-0.991760209692969,0.930349839786069,-3.41129707093407,0.0013268137525352,0.229723201399406,-1.03629224594286,TPH2,ENSG00000139287,protein_coding,InGen,TPH2,TPH2,TPH2
ENSG00000110799.13,0.507039768242334,6.69718923479719,3.41058051307933,0.001329613041722,0.229723201399406,-1.03801697542621,VWF,ENSG00000110799,protein_coding,InGen,VWF,VWF,VWF
ENSG00000198723.10,-0.664745771686391,-1.08124064945635,-3.41042581606129,0.0013302181148943,0.229723201399406,-1.03838929941909,C19orf45,ENSG00000198723,protein_coding,InGen,C19orf45,C19orf45,C19ORF45
ENSG00000132382.14,-0.18112114821708,5.00218915212905,-3.40679593503522,0.0013444912616874,0.229723201399406,-1.04712299850304,MYBBP1A,ENSG00000132382,protein_coding,InGen,MYBBP1A,MYBBP1A,MYBBP1A
ENSG00000175283.7,-0.205028086105249,3.03332296075446,-3.40671598124412,0.0013448072842779,0.229723201399406,-1.04731531394234,DOLK,ENSG00000175283,protein_coding,InGen,DOLK,DOLK,DOLK
ENSG00000114654.7,-0.880339430186655,0.212200325116288,-3.40615728039457,0.0013470175592389,0.229723201399406,-1.04865910545394,EFCC1,ENSG00000114654,protein_coding,InGen,EFCC1,EFCC1,EFCC1
ENSG00000128563.13,-0.142085316800019,4.53580643131962,-3.404692297013,0.0013528296017098,0.229723201399406,-1.05218211516988,PRKRIP1,ENSG00000128563,protein_coding,InGen,PRKRIP1,PRKRIP1,PRKRIP1
ENSG00000090376.9,0.421577802691906,3.21892568051474,3.4005859106943,0.0013692483427666,0.229723201399406,-1.06205272656763,IRAK3,ENSG00000090376,protein_coding,InGen,IRAK3,IRAK3,IRAK3
ENSG00000223723.1,-0.770897982774597,-0.830370824124617,-3.39822515307077,0.0013787730937538,0.229723201399406,-1.06772434067209,BX842568.2,ENSG00000223723,processed_pseudogene,InGen,BX842568.2,BX842568.2,BX842568.2
ENSG00000106263.17,-0.112194148221211,5.80441037789275,-3.39767390455133,0.0013810062286981,0.229723201399406,-1.06904837559709,EIF3B,ENSG00000106263,protein_coding,InGen,EIF3B,EIF3B,EIF3B
ENSG00000111859.16,0.695711072323232,3.77513819583258,3.39254005820411,0.0014019695578219,0.229723201399406,-1.08137354533954,NEDD9,ENSG00000111859,protein_coding,InGen,NEDD9,NEDD9,NEDD9
ENSG00000004975.11,-0.121259059102382,4.16551970556665,-3.39103359807999,0.0014081781782283,0.229723201399406,-1.08498823797346,DVL2,ENSG00000004975,protein_coding,InGen,DVL2,DVL2,DVL2
ENSG00000105325.13,-0.143634678419134,5.62450061035688,-3.38987251065281,0.0014129812360718,0.229723201399406,-1.08777361225546,FZR1,ENSG00000105325,protein_coding,InGen,FZR1,FZR1,FZR1
ENSG00000224116.6,-0.765060716297042,1.4884798526996,-3.38979353508105,0.001413308498678,0.229723201399406,-1.08796305029169,INHBA-AS1,ENSG00000224116,antisense,InGen,INHBA-AS1,INHBA-AS1,INHBA-AS1
ENSG00000228526.5,0.609641572343639,1.49214297755427,3.38389866278745,0.0014379404435795,0.232069310170897,-1.10209608364256,MIR34A,ENSG00000228526,lincRNA,InGen,MIR34A,MIR34A,MIR34A
ENSG00000149182.14,-0.122150724448708,6.38524468106775,-3.37054776255311,0.0014952451546056,0.237978616356425,-1.13405418327723,ARFGAP2,ENSG00000149182,protein_coding,InGen,ARFGAP2,ARFGAP2,ARFGAP2
ENSG00000143379.12,-0.11512136552272,4.88156766730799,-3.37049607258106,0.0014954711785449,0.237978616356425,-1.13417777617739,SETDB1,ENSG00000143379,protein_coding,InGen,SETDB1,SETDB1,SETDB1
ENSG00000224729.5,0.581251163003946,-1.21798328936459,3.3652524296877,0.0015185694309961,0.239050672491236,-1.14671001532199,PCOLCE-AS1,ENSG00000224729,antisense,InGen,PCOLCE-AS1,PCOLCE-AS1,PCOLCE-AS1
