bulk_gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,Symbol,ensemblID,gene_type,Class,MGI_Symbol,human_gene,gene_upper
ENSG00000105227.14,0.690690700001557,2.49130334498704,4.76880200516783,1.78690548692543e-05,0.105812828947605,2.50979109422407,PRX,ENSG00000105227,protein_coding,InGen,PRX,PRX,PRX
ENSG00000166780.10,-0.222781166765614,6.24088980567338,-4.76636938348761,1.80154739855042e-05,0.105812828947605,2.50307358667582,C16orf45,ENSG00000166780,protein_coding,InGen,C16orf45,C16orf45,C16ORF45
ENSG00000128567.16,0.433365973385179,6.04512705402905,4.69519612902378,2.28616925002332e-05,0.105812828947605,2.30692178298239,PODXL,ENSG00000128567,protein_coding,InGen,PODXL,PODXL,PODXL
ENSG00000198682.12,0.54067504572941,2.45002111402613,4.65348873993031,2.62739099395087e-05,0.105812828947605,2.19233989385319,PAPSS2,ENSG00000198682,protein_coding,InGen,PAPSS2,PAPSS2,PAPSS2
ENSG00000025770.18,-0.175004990335529,4.68299565839787,-4.63582499527445,2.78652663856617e-05,0.105812828947605,2.14389700129908,NCAPH2,ENSG00000025770,protein_coding,InGen,NCAPH2,NCAPH2,NCAPH2
ENSG00000117877.10,-0.257803605732217,2.62106143095451,-4.6354578915412,2.78993220990345e-05,0.105812828947605,2.14289076071023,CD3EAP,ENSG00000117877,protein_coding,InGen,CD3EAP,CD3EAP,CD3EAP
ENSG00000101187.15,0.92868574855809,2.93042088670295,4.58582993740629,3.28992124274776e-05,0.10695063971424,2.00706725315333,SLCO4A1,ENSG00000101187,protein_coding,InGen,SLCO4A1,SLCO4A1,SLCO4A1
ENSG00000076067.11,0.25740366427646,4.65694003373054,4.46426110369038,4.9149918792085e-05,0.139806944004086,1.67619398727221,RBMS2,ENSG00000076067,protein_coding,InGen,RBMS2,RBMS2,RBMS2
ENSG00000127954.12,1.62538207496902,-0.147313369720949,4.41228289888929,5.82898095507977e-05,0.145171291193891,1.5355779294966,STEAP4,ENSG00000127954,protein_coding,InGen,STEAP4,STEAP4,STEAP4
ENSG00000229152.2,0.362388695231596,2.52824476312174,4.38469625933329,6.37947315845893e-05,0.145171291193891,1.46116785864108,ANKRD10-IT1,ENSG00000229152,sense_intronic,InGen,ANKRD10-IT1,ANKRD10-IT1,ANKRD10-IT1
ENSG00000174804.3,0.391287797047201,4.26690027286725,4.33296626467598,7.55176352843913e-05,0.146754378172644,1.32206137642726,FZD4,ENSG00000174804,protein_coding,InGen,FZD4,FZD4,FZD4
ENSG00000241015.2,0.426194417972685,2.4938308564545,4.28537483656873,8.81414391850293e-05,0.146754378172644,1.19459176706396,TPM3P9,ENSG00000241015,transcribed_processed_pseudogene,InGen,TPM3P9,TPM3P9,TPM3P9
ENSG00000064205.10,1.14489856950055,-1.35378042814982,4.26984917878335,9.26879006871272e-05,0.146754378172644,1.15311614426065,WISP2,ENSG00000064205,protein_coding,InGen,WISP2,WISP2,WISP2
ENSG00000261269.1,0.692679019388388,1.68887039524676,4.22883049494735,0.0001058262385751,0.146754378172644,1.04380174090481,RP11-389C8.2,ENSG00000261269,sense_overlapping,InGen,RP11-389C8.2,RP11-389C8.2,RP11-389C8.2
ENSG00000183888.4,0.588976881671424,2.04432384910043,4.22787409024151,0.000106153242416,0.146754378172644,1.0412575669606,C1orf64,ENSG00000183888,protein_coding,InGen,C1orf64,C1orf64,C1ORF64
ENSG00000102755.10,0.485908886326047,6.38176300954766,4.21847612009325,0.0001094192417182,0.146754378172644,1.01626899910078,FLT1,ENSG00000102755,protein_coding,InGen,FLT1,FLT1,FLT1
ENSG00000179066.7,1.05695163984936,-1.61756311965685,4.21214451423128,0.0001116745128252,0.146754378172644,0.999445385982905,CTD-2527I21.15,ENSG00000179066,lincRNA,InGen,CTD-2527I21.15,CTD-2527I21.15,CTD-2527I21.15
ENSG00000153250.18,0.248900637957731,4.68976897515727,4.20011985425027,0.0001160827389307,0.146754378172644,0.967520955490378,RBMS1,ENSG00000153250,protein_coding,InGen,RBMS1,RBMS1,RBMS1
ENSG00000197142.10,0.582208969641115,3.01133666358261,4.1649039553125,0.0001299885957699,0.152937326887955,0.874225222854976,ACSL5,ENSG00000197142,protein_coding,InGen,ACSL5,ACSL5,ACSL5
ENSG00000196700.8,-0.180831251435558,5.1723764668946,-4.15446032906774,0.0001344149471681,0.152937326887955,0.846615423274422,ZNF512B,ENSG00000196700,protein_coding,InGen,ZNF512B,ZNF512B,ZNF512B
ENSG00000069974.15,0.458703405935249,2.37409886724678,4.11849743237305,0.0001508057990011,0.158938780418402,0.751747362355042,RAB27A,ENSG00000069974,protein_coding,InGen,RAB27A,RAB27A,RAB27A
ENSG00000165724.5,-0.200855715041678,2.94465549205539,-4.09771974481758,0.0001611434274343,0.158938780418402,0.697085619016883,ZMYND19,ENSG00000165724,protein_coding,InGen,ZMYND19,ZMYND19,ZMYND19
ENSG00000198959.11,0.785290273879443,4.94181285777191,4.08502749158033,0.0001677931692743,0.158938780418402,0.663749397603904,TGM2,ENSG00000198959,protein_coding,InGen,TGM2,TGM2,TGM2
ENSG00000131831.17,0.325757901058839,2.44071373059515,4.07693588787367,0.0001721706752326,0.158938780418402,0.642518551830382,RAI2,ENSG00000131831,protein_coding,InGen,RAI2,RAI2,RAI2
ENSG00000150457.8,0.623423263977295,3.12036956762331,4.07250956544653,0.0001746119489567,0.158938780418402,0.630911927248362,LATS2,ENSG00000150457,protein_coding,InGen,LATS2,LATS2,LATS2
ENSG00000008513.14,0.518415266475377,4.03289360402211,4.04207739371089,0.0001923286715174,0.168331971117364,0.551252702898469,ST3GAL1,ENSG00000008513,protein_coding,InGen,ST3GAL1,ST3GAL1,ST3GAL1
ENSG00000232859.9,-0.255835043712979,4.19585535513714,-3.99749853381895,0.0002214615421776,0.171521104287812,0.43501092188919,LYRM9,ENSG00000232859,protein_coding,InGen,LYRM9,LYRM9,LYRM9
ENSG00000104731.13,-0.171337976056639,4.22307316058709,-3.98009021118594,0.0002339614938263,0.171521104287812,0.389765358806581,KLHDC4,ENSG00000104731,protein_coding,InGen,KLHDC4,KLHDC4,KLHDC4
ENSG00000279894.1,0.428210010105604,0.0689181182177865,3.97432016643874,0.0002382533120867,0.171521104287812,0.374787141477231,GHc-857G6.7,ENSG00000279894,TEC,InGen,GHc-857G6.7,GHc-857G6.7,GHC-857G6.7
ENSG00000106636.7,-0.147554199034015,5.6766762926697,-3.9643166826994,0.000245875162425,0.171521104287812,0.348841590036728,YKT6,ENSG00000106636,protein_coding,InGen,YKT6,YKT6,YKT6
ENSG00000006327.13,0.926012183548399,0.50199122688284,3.939197388921,0.0002660682303299,0.171521104287812,0.283815433873497,TNFRSF12A,ENSG00000006327,protein_coding,InGen,TNFRSF12A,TNFRSF12A,TNFRSF12A
ENSG00000091879.13,0.780413678114078,2.38959669072582,3.92539824996431,0.000277834083331,0.171521104287812,0.248170319837145,ANGPT2,ENSG00000091879,protein_coding,InGen,ANGPT2,ANGPT2,ANGPT2
ENSG00000184905.8,-0.200479628213219,5.6566182572405,-3.91548678290023,0.0002865937641098,0.171521104287812,0.222601500382767,TCEAL2,ENSG00000184905,protein_coding,InGen,TCEAL2,TCEAL2,TCEAL2
ENSG00000128335.13,0.451505126053951,5.32471788398616,3.91359156117245,0.0002882988694223,0.171521104287812,0.217715602180311,APOL2,ENSG00000128335,protein_coding,InGen,APOL2,APOL2,APOL2
ENSG00000176697.18,-1.14274739792619,2.41130608794122,-3.90740813178643,0.0002939304395791,0.171521104287812,0.201781939713284,BDNF,ENSG00000176697,protein_coding,InGen,BDNF,BDNF,BDNF
ENSG00000115594.11,0.902725666742787,2.80908060863865,3.90611259798024,0.0002951237414165,0.171521104287812,0.198444979443454,IL1R1,ENSG00000115594,protein_coding,InGen,IL1R1,IL1R1,IL1R1
ENSG00000103326.11,0.192341713422955,4.01796536250505,3.90564465809556,0.0002955559049581,0.171521104287812,0.197239807822029,CAPN15,ENSG00000103326,protein_coding,InGen,CAPN15,CAPN15,CAPN15
ENSG00000261371.5,0.443224311355683,5.08364266662894,3.90559497679259,0.0002956018237558,0.171521104287812,0.197111858187413,PECAM1,ENSG00000261371,protein_coding,InGen,PECAM1,PECAM1,PECAM1
ENSG00000009780.15,-0.231650033074044,3.79479683601035,-3.89872105212412,0.0003020220416531,0.171521104287812,0.179415664861121,FAM76A,ENSG00000009780,protein_coding,InGen,FAM76A,FAM76A,FAM76A
ENSG00000083812.11,-0.170338507950255,3.69802335222482,-3.8959315142963,0.0003046656930035,0.171521104287812,0.172238249532786,ZNF324,ENSG00000083812,protein_coding,InGen,ZNF324,ZNF324,ZNF324
ENSG00000179950.13,-0.153163236664947,6.07778048573105,-3.88157897171559,0.000318624758334,0.171521104287812,0.135345780920503,PUF60,ENSG00000179950,protein_coding,InGen,PUF60,PUF60,PUF60
ENSG00000099899.14,-0.153656444394366,4.29434235609815,-3.87194217117402,0.0003283416860745,0.171521104287812,0.110609175071246,TRMT2A,ENSG00000099899,protein_coding,InGen,TRMT2A,TRMT2A,TRMT2A
ENSG00000159958.5,-0.742739453147169,1.44226889583159,-3.86888958478949,0.0003314788576757,0.171521104287812,0.102779300854004,TNFRSF13C,ENSG00000159958,protein_coding,InGen,TNFRSF13C,TNFRSF13C,TNFRSF13C
ENSG00000110046.12,-0.168556901024727,5.30479578821837,-3.86872806359786,0.0003316456577897,0.171521104287812,0.102365077181527,ATG2A,ENSG00000110046,protein_coding,InGen,ATG2A,ATG2A,ATG2A
ENSG00000006712.14,-0.157760735763187,5.0142598128206,-3.83151941617342,0.0003723073176175,0.183839897949951,0.0071527056367317,PAF1,ENSG00000006712,protein_coding,InGen,PAF1,PAF1,PAF1
ENSG00000180104.15,-0.13903056882168,5.75634960157699,-3.82208022157834,0.0003833632393174,0.183839897949951,-0.0169339455597042,EXOC3,ENSG00000180104,protein_coding,InGen,EXOC3,EXOC3,EXOC3
ENSG00000137834.14,0.649371949939227,2.61054869287889,3.81856495103882,0.0003875609232358,0.183839897949951,-0.0258970949325574,SMAD6,ENSG00000137834,protein_coding,InGen,SMAD6,SMAD6,SMAD6
ENSG00000179776.17,0.539854623109245,4.03056665307721,3.8167008796296,0.0003898048010181,0.183839897949951,-0.0306485091370323,CDH5,ENSG00000179776,protein_coding,InGen,CDH5,CDH5,CDH5
ENSG00000204371.11,-0.150767487501006,5.97009573882631,-3.8117229998444,0.0003958584548931,0.183839897949951,-0.0433315759965467,EHMT2,ENSG00000204371,protein_coding,InGen,EHMT2,EHMT2,EHMT2
ENSG00000269825.1,0.390483503119744,2.52905568010067,3.80155314930212,0.0004085089424902,0.184132035566714,-0.069219261487393,CTD-3099C6.9,ENSG00000269825,sense_intronic,InGen,CTD-3099C6.9,CTD-3099C6.9,CTD-3099C6.9
ENSG00000187498.14,0.758782424326235,4.18401742313216,3.78404136516019,0.0004312101896847,0.184132035566714,-0.113720276375529,COL4A1,ENSG00000187498,protein_coding,InGen,COL4A1,COL4A1,COL4A1
ENSG00000221869.4,1.03989772049741,1.83477350998172,3.78318291552737,0.0004323537109656,0.184132035566714,-0.115899291545549,CEBPD,ENSG00000221869,protein_coding,InGen,CEBPD,CEBPD,CEBPD
ENSG00000065308.4,0.379847286283549,2.71297471256621,3.7805724715851,0.0004358489906299,0.184132035566714,-0.122523988901416,TRAM2,ENSG00000065308,protein_coding,InGen,TRAM2,TRAM2,TRAM2
ENSG00000115694.14,-0.15402993844223,6.15924042045017,-3.7784926702449,0.0004386532168723,0.184132035566714,-0.12780049656286,STK25,ENSG00000115694,protein_coding,InGen,STK25,STK25,STK25
ENSG00000196954.13,0.586671783001468,1.58735236342454,3.77380536833906,0.0004450369993043,0.184132035566714,-0.139687272160513,CASP4,ENSG00000196954,protein_coding,InGen,CASP4,CASP4,CASP4
ENSG00000182179.11,-0.362210611866413,3.76169995968907,-3.7637864634625,0.0004589832632963,0.185090314042125,-0.165071315355102,UBA7,ENSG00000182179,protein_coding,InGen,UBA7,UBA7,UBA7
ENSG00000232295.7,0.595068740124358,0.69019259069084,3.74674120007398,0.0004836818899678,0.185090314042125,-0.208183626893112,RP11-154D6.1,ENSG00000232295,processed_transcript,InGen,RP11-154D6.1,RP11-154D6.1,RP11-154D6.1
ENSG00000169035.11,-1.53491231858598,-0.565004857105985,-3.74647127505936,0.0004840831119333,0.185090314042125,-0.208865591912564,KLK7,ENSG00000169035,protein_coding,InGen,KLK7,KLK7,KLK7
ENSG00000108622.10,0.557029139859835,2.84341537234436,3.74479172245332,0.0004865868348663,0.185090314042125,-0.21310844944712,ICAM2,ENSG00000108622,protein_coding,InGen,ICAM2,ICAM2,ICAM2
ENSG00000096063.15,0.1939916940966,5.24315894599051,3.73698857998875,0.000498383301222,0.185090314042125,-0.23280864229016,SRPK1,ENSG00000096063,protein_coding,InGen,SRPK1,SRPK1,SRPK1
ENSG00000243364.7,0.600716456710239,-1.24620317733637,3.73058044811768,0.0005082760354302,0.185090314042125,-0.248972139396131,EFNA4,ENSG00000243364,protein_coding,InGen,EFNA4,EFNA4,EFNA4
ENSG00000188976.10,-0.138302160240192,5.49814589435136,-3.73010339974546,0.0005090199949374,0.185090314042125,-0.250174883523099,NOC2L,ENSG00000188976,protein_coding,InGen,NOC2L,NOC2L,NOC2L
ENSG00000204344.14,-0.171303918372529,2.94499044502505,-3.727930028697,0.0005124226482973,0.185090314042125,-0.255653491534108,STK19,ENSG00000204344,protein_coding,InGen,STK19,STK19,STK19
ENSG00000175832.12,1.40611568358796,-1.91233335892357,3.71894800837526,0.0005267183361483,0.185295212891504,-0.278278880473521,ETV4,ENSG00000175832,protein_coding,InGen,ETV4,ETV4,ETV4
ENSG00000162618.12,0.40595656968192,2.8472126193177,3.7142839229658,0.0005342920672202,0.185295212891504,-0.290017106857862,ADGRL4,ENSG00000162618,protein_coding,InGen,ADGRL4,ADGRL4,ADGRL4
ENSG00000158941.16,-0.124286110912951,6.17114255595674,-3.71193502412344,0.0005381458197163,0.185295212891504,-0.295925932109167,CCAR2,ENSG00000158941,protein_coding,InGen,CCAR2,CCAR2,CCAR2
ENSG00000157554.18,0.418229954691535,2.72867463938398,3.70335234166653,0.0005524554686237,0.185295212891504,-0.317500807748531,ERG,ENSG00000157554,protein_coding,InGen,ERG,ERG,ERG
ENSG00000166130.14,0.564782415469632,0.943527149805058,3.6994853257572,0.0005590216281656,0.185295212891504,-0.327213621424138,IKBIP,ENSG00000166130,protein_coding,InGen,IKBIP,IKBIP,IKBIP
ENSG00000229007.1,0.910036637829438,-1.1997345349827,3.69369364298665,0.0005689962520683,0.185295212891504,-0.341751343267973,EXOSC3P1,ENSG00000229007,processed_pseudogene,InGen,EXOSC3P1,EXOSC3P1,EXOSC3P1
ENSG00000173868.11,0.83891463583467,0.708897260579197,3.69118386530394,0.0005733715566023,0.185295212891504,-0.348047675194334,PHOSPHO1,ENSG00000173868,protein_coding,InGen,PHOSPHO1,PHOSPHO1,PHOSPHO1
ENSG00000126107.14,-0.170031167446926,4.42324863547916,-3.68847425980996,0.0005781314868736,0.185295212891504,-0.354842959370613,HECTD3,ENSG00000126107,protein_coding,InGen,HECTD3,HECTD3,HECTD3
ENSG00000109906.13,0.505595177342852,5.12298755535026,3.68102234705219,0.0005914186383466,0.186921146308575,-0.373518571541863,ZBTB16,ENSG00000109906,protein_coding,InGen,ZBTB16,ZBTB16,ZBTB16
ENSG00000173821.19,-0.182964480473916,7.77760907497,-3.65828071567701,0.0006338050273876,0.194324111510398,-0.430396907087444,RNF213,ENSG00000173821,protein_coding,InGen,RNF213,RNF213,RNF213
ENSG00000149573.8,1.5851683811632,0.518791729042037,3.6550600522882,0.0006400384567222,0.194324111510398,-0.438437831320014,MPZL2,ENSG00000149573,protein_coding,InGen,MPZL2,MPZL2,MPZL2
ENSG00000110442.11,-0.181135456065495,4.75756458112643,-3.6514108229744,0.0006471724210613,0.194324111510398,-0.447544469270618,COMMD9,ENSG00000110442,protein_coding,InGen,COMMD9,COMMD9,COMMD9
