human_marker_gene,mouse_lhb_region,mean_expr_z,pct_expr
LHb.1: Tox,Hbx,-0.7069048,2.0034845
LHb.1: Tox,Lateral,-0.4671495,3.6274512
LHb.1: Tox,Marginal,-0.55156726,2.349173
LHb.1: Tox,Oval/Medial,1.7256217,14.113973
LHb.1: Htr7,Hbx,-0.11504858,4.1811867
LHb.1: Htr7,Lateral,-1.2301025,2.9411764
LHb.1: Htr7,Marginal,-0.21300946,3.043247
LHb.1: Htr7,Oval/Medial,1.5581603,5.347218
LHb.1: Grik4,Hbx,0.4827994,24.303078
LHb.1: Grik4,Lateral,1.2626444,28.921627
LHb.1: Grik4,Marginal,-1.4425018,6.2466545
LHb.1: Grik4,Oval/Medial,-0.30294228,14.907779
LHb.1: Neat1,Hbx,1.6256676,5.836241
LHb.1: Neat1,Lateral,-0.7385054,4.4117646
LHb.1: Neat1,Marginal,-0.9005191,3.4703684
LHb.1: Neat1,Oval/Medial,0.013356311,4.1870403
LHb.1: Syt2,Hbx,-0.7398819,0.87108004
LHb.1: Syt2,Lateral,-0.7855043,0.6862745
LHb.1: Syt2,Marginal,1.6770055,4.1110497
LHb.1: Syt2,Oval/Medial,-0.15161934,1.8754352
LHb.1: Ndst4,Hbx,1.7066435,51.6553
LHb.1: Ndst4,Lateral,-0.29100025,18.72549
LHb.1: Ndst4,Marginal,-0.7258169,6.193264
LHb.1: Ndst4,Oval/Medial,-0.68982613,7.5628953
LHb.2: Gnb4,Hbx,1.7055572,10.278736
LHb.2: Gnb4,Lateral,-0.28515458,4.117647
LHb.2: Gnb4,Marginal,-0.690503,2.509344
LHb.2: Gnb4,Oval/Medial,-0.7299003,2.7390075
LHb.2: Dpyd,Hbx,0.9501284,13.763044
LHb.2: Dpyd,Lateral,0.45923367,10.294118
LHb.2: Dpyd,Marginal,-1.677591,1.975441
LHb.2: Dpyd,Oval/Medial,0.26822847,8.417763
LHb.2: Unc5d,Hbx,0.077741705,31.881567
LHb.2: Unc5d,Lateral,1.446733,39.608063
LHb.2: Unc5d,Marginal,-1.3700515,13.721287
LHb.2: Unc5d,Oval/Medial,-0.15442315,24.948112
LHb.2: Peg10,Hbx,-0.578277,2.526133
LHb.2: Peg10,Lateral,1.6694163,4.8039217
LHb.2: Peg10,Marginal,-0.16939564,1.6017089
LHb.2: Peg10,Oval/Medial,-0.9217434,1.1165382
LHb.2: Foxp2,Hbx,1.4939259,33.275314
LHb.2: Foxp2,Lateral,0.08436717,22.058825
LHb.2: Foxp2,Marginal,-1.296852,7.6347976
LHb.2: Foxp2,Oval/Medial,-0.2814412,17.036224
LHb.2: Ddr2,Hbx,0.94515485,0.26132405
LHb.2: Ddr2,Lateral,-1.377466,0.0
LHb.2: Ddr2,Marginal,-0.5291516,0.053390283
LHb.2: Ddr2,Oval/Medial,0.9614624,0.19190504
LHb.3: Adamts6,Hbx,0.883804,4.8780518
LHb.3: Adamts6,Lateral,-0.48013195,2.5490196
LHb.3: Adamts6,Marginal,-1.4073567,0.74746406
LHb.3: Adamts6,Oval/Medial,1.0036849,3.7770529
LHb.3: Plcxd3,Hbx,0.05282704,6.9686427
LHb.3: Plcxd3,Lateral,0.595182,7.647059
LHb.3: Plcxd3,Marginal,-1.6341158,2.7762954
LHb.3: Plcxd3,Oval/Medial,0.98610675,7.4669404
LHb.3: Ccbe1,Hbx,-0.86052895,0.0
LHb.3: Ccbe1,Lateral,-0.2036745,0.5882353
LHb.3: Ccbe1,Marginal,-0.6192761,0.21356113
LHb.3: Ccbe1,Oval/Medial,1.6834793,2.3551977
LHb.3: Grap2,Hbx,1.266989,0.17421603
LHb.3: Grap2,Lateral,-1.5230981,0.0
LHb.3: Grap2,Marginal,0.0015660541,0.053390283
LHb.3: Grap2,Oval/Medial,0.2545433,0.078506626
LHb.3: Colec12,Hbx,-0.5279767,0.87108004
LHb.3: Colec12,Lateral,-1.0815684,0.6862745
LHb.3: Colec12,Marginal,0.012634548,0.907635
LHb.3: Colec12,Oval/Medial,1.5969105,1.5701318
LHb.3: Tafa2,Hbx,-0.1530498,0.17421603
LHb.3: Tafa2,Lateral,-1.108354,0.0
LHb.3: Tafa2,Marginal,1.6181885,0.37373197
LHb.3: Tafa2,Oval/Medial,-0.35678458,0.113398455
LHb.4: Chrm3,Hbx,-0.5490453,12.630645
LHb.4: Chrm3,Lateral,-0.10937133,14.705883
LHb.4: Chrm3,Marginal,-0.98794305,7.741578
LHb.4: Chrm3,Oval/Medial,1.6463602,21.694382
LHb.4: Arpp21,Hbx,-0.72841513,3.484322
LHb.4: Arpp21,Lateral,-0.39046565,7.745098
LHb.4: Arpp21,Marginal,-0.60050976,4.751731
LHb.4: Arpp21,Oval/Medial,1.7193907,28.053549
LHb.4: Sez6l,Hbx,-1.1746415,2.9616735
LHb.4: Sez6l,Lateral,-0.63931084,7.54902
LHb.4: Sez6l,Marginal,1.439069,21.035835
LHb.4: Sez6l,Oval/Medial,0.374883,15.919663
LHb.4: Hs3st4,Hbx,-1.072984,3.6585383
LHb.4: Hs3st4,Lateral,0.8380907,11.176471
LHb.4: Hs3st4,Marginal,-0.9117851,3.0966372
