l04,Hbx,Lateral,Marginal,Oval/Medial
0,142,71,40,590
1,593,801,64,9679
2,38,0,66,113
4,253,67,115,534
5,0,0,0,2
7,0,0,0,4
9,50,33,1586,352
10,0,0,1,12
13,72,48,0,167
15,0,0,0,1
16,0,0,0,4
21,0,0,0,1
23,0,0,1,1
24,0,0,0,1
25,0,0,0,3
