human_marker_gene,human_cluster,mouse_region,mean_expr_z,pct_expr
MHb.3: Bhlhe22,MHb.3,Superior/Dorsal,1.1277516,0.684931506849315
MHb.3: Ebf3,MHb.3,Ventral,-0.48804075,1.0115102895012207
MHb.3: Ebf3,MHb.3,Ventral/Dorsal,0.24206693,6.813460739509751
MHb.3: Ebf3,MHb.3,Lateral,-0.94233334,0.3475238922675934
MHb.3: Ebf3,MHb.3,Dorsal,1.8409443,7.652338214454452
MHb.3: Ebf3,MHb.3,Superior/Dorsal,-0.6526374,0.9589041095890409
MHb.3: Cobll1,MHb.3,Ventral,0.51084566,1.8486222532263663
MHb.3: Cobll1,MHb.3,Ventral/Dorsal,1.6554943,5.484004985459071
MHb.3: Cobll1,MHb.3,Lateral,-0.84606,1.1294526498696784
MHb.3: Cobll1,MHb.3,Dorsal,-0.20708817,2.0311761927255567
MHb.3: Cobll1,MHb.3,Superior/Dorsal,-1.1131923,0.684931506849315
MHb.3: Ascl1,MHb.3,Ventral,1.1061356,0.20927799093128702
MHb.3: Ascl1,MHb.3,Ventral/Dorsal,1.2334949,0.3739094308267554
MHb.3: Ascl1,MHb.3,Lateral,-0.37070248,0.08688097306689835
MHb.3: Ascl1,MHb.3,Dorsal,-0.6887571,0.07085498346717053
MHb.3: Ascl1,MHb.3,Superior/Dorsal,-1.2801707,0.0
MHb.3: Fgf10,MHb.3,Ventral,-0.71036994,1.5172654342518295
MHb.3: Fgf10,MHb.3,Ventral/Dorsal,0.85243857,13.668466971333604
MHb.3: Fgf10,MHb.3,Lateral,-1.1760119,0.6950477845351868
MHb.3: Fgf10,MHb.3,Dorsal,1.4790094,10.014170996693483
MHb.3: Fgf10,MHb.3,Superior/Dorsal,-0.44506574,2.602739726027398
