mouse_lhb_region,mouse_gene,avg_log_expr,pct_expr,logFC_vs_other_lhb_regions
Hbx,Magi1,1.0798631,0.47822553,0.39963114
Hbx,Gm20642,0.72760874,0.3266555,0.39422178
Hbx,Enox1,0.94549465,0.41899127,0.39340925
Hbx,Camk2d,0.9191354,0.42944437,0.39212495
Hbx,Tll1,0.5508749,0.26480797,0.3911235
Hbx,Usp29,1.0175378,0.4372842,0.3867448
Hbx,Ubl3,0.68079746,0.3379797,0.38647786
Hbx,Gm32647,1.0128874,0.35365936,0.38141173
Hbx,Bex2,0.82095975,0.34756172,0.37984616
Hbx,Gm4876,0.54370856,0.2726478,0.3792408
Hbx,Rcan2,0.9144231,0.39721397,0.3755951
Hbx,Nol4,0.90606946,0.41115144,0.3743742
Hbx,6330403K07Rik,0.6271533,0.26480797,0.37290272
Hbx,Ppia,1.4584028,0.5392006,0.37266266
Hbx,Slc35f4,0.6190025,0.29268292,0.37010628
Hbx,Htr4,0.58221483,0.25522596,0.3699571
Hbx,Adra1a,0.44066447,0.23606217,0.3675487
Hbx,Aff2,0.6755285,0.3153313,0.36753023
Hbx,Cox8a,1.3546574,0.5156819,0.36472213
Hbx,Nalcn,1.055406,0.46603024,0.36458528
Hbx,Ccser1,1.8739467,0.670731,0.3638785
Hbx,Zic4,0.56976664,0.29790947,0.36266142
Hbx,Rab27b,0.51218414,0.25522596,0.36144924
Hbx,Cartpt,0.42378497,0.18292646,0.3607687
Hbx,Pcsk1n,1.6751469,0.5966907,0.36051333
Hbx,Spock1,0.841475,0.3919874,0.35934865
Hbx,Rtn1,1.9293281,0.6959918,0.35871458
Hbx,Eml6,0.97253484,0.44251075,0.35868102
Hbx,Morf4l1,1.051487,0.43379983,0.3584401
Hbx,Kcnmb4,0.49190602,0.25609705,0.35421354
Hbx,Oprm1,0.6806422,0.33188206,0.35351533
Hbx,Aifm3,0.5762421,0.28658527,0.353168
Hbx,Nrg3os,0.64499056,0.3153313,0.34362933
Hbx,Fam19a1,0.89269096,0.359757,0.34035325
Hbx,Tmem131l,0.5361928,0.27787435,0.33810222
Hbx,Grb10,0.68993807,0.3484328,0.33602434
Hbx,Lhfpl3,1.5927027,0.6219515,0.3288952
Hbx,Khdrbs2,0.8974273,0.3832765,0.32838017
Hbx,5330434G04Rik,0.9257821,0.42247564,0.32792974
Hbx,Ptprn2,1.349724,0.5365874,0.3268559
Hbx,Nbea,1.5466546,0.6036592,0.3256656
Hbx,Focad,0.6554735,0.32142895,0.3254745
Hbx,Glce,0.5076909,0.25783923,0.32440257
Hbx,Nrxn1,3.10781,0.88239914,0.323627
Hbx,Stxbp5,0.6643041,0.34320626,0.31704548
Hbx,Cacnb3,0.62542456,0.3170735,0.3168829
Hbx,Pcsk1,0.48735082,0.2621947,0.31611234
Hbx,Nsa2,0.51715803,0.28571418,0.31444848
Hbx,Btbd11,0.63801086,0.3170735,0.3136017
