compartment,mouse_region,human_cluster,module_marker_depth,n_marker_genes_mapped,mean_module_score
MHb,Superior/Dorsal,MHb.1,15,15,0.022859761491417885
MHb,Ventral,MHb.2,15,15,-0.2506615221500397
MHb,Ventral/Dorsal,MHb.2,15,15,-0.0010572749888524413
MHb,Lateral,MHb.2,15,15,0.07674761116504669
MHb,Dorsal,MHb.2,15,15,0.3605450391769409
MHb,Superior/Dorsal,MHb.2,15,15,-0.23979133367538452
MHb,Ventral,MHb.3,15,15,-0.017369067296385765
MHb,Ventral/Dorsal,MHb.3,15,15,0.03878174349665642
MHb,Lateral,MHb.3,15,15,-0.018770799040794373
MHb,Dorsal,MHb.3,15,15,0.011198216117918491
MHb,Superior/Dorsal,MHb.3,15,15,-0.026797030121088028
MHb,Ventral,LHb.1,25,25,-0.047843143343925476
MHb,Ventral/Dorsal,LHb.1,25,25,0.012231293134391308
MHb,Lateral,LHb.1,25,25,0.02520524151623249
MHb,Dorsal,LHb.1,25,25,0.05660635977983475
MHb,Superior/Dorsal,LHb.1,25,25,-0.03258918225765228
MHb,Ventral,LHb.2,25,25,-0.09708818793296814
MHb,Ventral/Dorsal,LHb.2,25,25,0.03771024942398071
MHb,Lateral,LHb.2,25,25,0.199416384100914
MHb,Dorsal,LHb.2,25,25,0.05172671750187874
MHb,Superior/Dorsal,LHb.2,25,25,0.023828761652112007
MHb,Ventral,LHb.3,25,25,-0.08088131248950958
MHb,Ventral/Dorsal,LHb.3,25,25,0.04453994706273079
MHb,Lateral,LHb.3,25,25,0.07742780447006226
MHb,Dorsal,LHb.3,25,25,0.07195695489645004
MHb,Superior/Dorsal,LHb.3,25,25,-0.050987619906663895
MHb,Ventral,LHb.4,25,25,-0.06032625213265419
MHb,Ventral/Dorsal,LHb.4,25,25,0.00798969715833664
MHb,Lateral,LHb.4,25,25,0.1359272599220276
MHb,Dorsal,LHb.4,25,25,0.05675297603011131
MHb,Superior/Dorsal,LHb.4,25,25,-0.09598232805728912
MHb,Ventral,LHb.5,25,25,-0.055476658046245575
MHb,Ventral/Dorsal,LHb.5,25,25,0.01167092751711607
MHb,Lateral,LHb.5,25,25,0.08544840663671494
MHb,Dorsal,LHb.5,25,25,0.05832747370004654
MHb,Superior/Dorsal,LHb.5,25,25,-0.0757543072104454
MHb,Ventral,LHb.6,25,25,-0.08247977495193481
MHb,Ventral/Dorsal,LHb.6,25,25,0.0434085875749588
MHb,Lateral,LHb.6,25,25,0.04807529225945473
MHb,Dorsal,LHb.6,25,25,0.07838178426027298
MHb,Superior/Dorsal,LHb.6,25,25,-0.025682460516691208
MHb,Ventral,LHb.7,25,25,-0.08503953367471695
MHb,Ventral/Dorsal,LHb.7,25,25,-0.010422206483781338
MHb,Lateral,LHb.7,25,25,0.1944763958454132
MHb,Dorsal,LHb.7,25,25,0.08931085467338562
MHb,Superior/Dorsal,LHb.7,25,25,-0.12230455875396729
MHb,Ventral,MHb.1,25,25,-0.07014521956443787
MHb,Ventral/Dorsal,MHb.1,25,25,0.05953728407621384
MHb,Lateral,MHb.1,25,25,0.1444101333618164
MHb,Dorsal,MHb.1,25,25,0.017574746161699295
MHb,Superior/Dorsal,MHb.1,25,25,0.02503988705575466
MHb,Ventral,MHb.2,25,25,-0.23440326750278473
MHb,Ventral/Dorsal,MHb.2,25,25,0.04804946482181549
MHb,Lateral,MHb.2,25,25,-0.0390608087182045
MHb,Dorsal,MHb.2,25,25,0.30860286951065063
MHb,Superior/Dorsal,MHb.2,25,25,-0.04555231332778931
MHb,Ventral,MHb.3,25,25,-0.023099102079868317
MHb,Ventral/Dorsal,MHb.3,25,25,0.024081192910671234
MHb,Lateral,MHb.3,25,25,-0.004050565417855978
MHb,Dorsal,MHb.3,25,25,0.0262022465467453
MHb,Superior/Dorsal,MHb.3,25,25,-0.04354937747120857
MHb,Ventral,LHb.1,50,50,-0.04528573900461197
MHb,Ventral/Dorsal,LHb.1,50,50,0.012035503052175045
MHb,Lateral,LHb.1,50,50,0.06489326804876328
MHb,Dorsal,LHb.1,50,50,0.0455949492752552
MHb,Superior/Dorsal,LHb.1,50,50,-0.050743989646434784
MHb,Ventral,LHb.2,50,50,-0.11900102347135544
MHb,Ventral/Dorsal,LHb.2,50,50,0.035799331963062286
MHb,Lateral,LHb.2,50,50,0.16644743084907532
MHb,Dorsal,LHb.2,50,50,0.10166369378566742
MHb,Superior/Dorsal,LHb.2,50,50,-0.035403061658144
MHb,Ventral,LHb.3,50,50,-0.08417584002017975
MHb,Ventral/Dorsal,LHb.3,50,50,0.026367666199803352
MHb,Lateral,LHb.3,50,50,0.11647018045186996
MHb,Dorsal,LHb.3,50,50,0.07435107231140137
MHb,Superior/Dorsal,LHb.3,50,50,-0.040635060518980026
MHb,Ventral,LHb.4,50,50,-0.05877857282757759
MHb,Ventral/Dorsal,LHb.4,50,50,0.010826347395777702
MHb,Lateral,LHb.4,50,50,0.1364932805299759
MHb,Dorsal,LHb.4,50,50,0.04677078127861023
MHb,Superior/Dorsal,LHb.4,50,50,-0.060487717390060425
MHb,Ventral,LHb.5,50,50,-0.06361784785985947
MHb,Ventral/Dorsal,LHb.5,50,50,0.0033003580756485462
MHb,Lateral,LHb.5,50,50,0.11763916909694672
MHb,Dorsal,LHb.5,50,50,0.06604639440774918
MHb,Superior/Dorsal,LHb.5,50,50,-0.07973196357488632
MHb,Ventral,LHb.6,50,50,-0.09971967339515686
MHb,Ventral/Dorsal,LHb.6,50,50,0.05499686673283577
MHb,Lateral,LHb.6,50,50,0.10455881059169769
MHb,Dorsal,LHb.6,50,50,0.07439335435628891
MHb,Superior/Dorsal,LHb.6,50,50,0.005596119910478592
MHb,Ventral,LHb.7,50,50,-0.11095383763313293
MHb,Ventral/Dorsal,LHb.7,50,50,-0.000757192843593657
MHb,Lateral,LHb.7,50,50,0.17250065505504608
MHb,Dorsal,LHb.7,50,50,0.1184382364153862
MHb,Superior/Dorsal,LHb.7,50,50,-0.08491061627864838
MHb,Ventral,MHb.1,50,50,-0.06226932629942894
MHb,Ventral/Dorsal,MHb.1,50,50,0.04712928086519241
MHb,Lateral,MHb.1,50,50,0.13076607882976532
MHb,Dorsal,MHb.1,50,50,0.019691094756126404
MHb,Superior/Dorsal,MHb.1,50,50,0.013326339423656464
MHb,Ventral,MHb.2,50,50,-0.19764713943004608
MHb,Ventral/Dorsal,MHb.2,50,50,0.09589456021785736
MHb,Lateral,MHb.2,50,50,-0.05283281207084656
MHb,Dorsal,MHb.2,50,50,0.22950486838817596
MHb,Superior/Dorsal,MHb.2,50,50,-0.011537616141140461
MHb,Ventral,MHb.3,50,50,-0.033800605684518814
MHb,Ventral/Dorsal,MHb.3,50,50,0.048868726938962936
MHb,Lateral,MHb.3,50,50,-0.021030770614743233
MHb,Dorsal,MHb.3,50,50,0.025426866486668587
MHb,Superior/Dorsal,MHb.3,50,50,-0.009952469728887081
MHb,Ventral,LHb.1,100,100,-0.06303166598081589
MHb,Ventral/Dorsal,LHb.1,100,100,0.018304089084267616
MHb,Lateral,LHb.1,100,100,0.061662133783102036
MHb,Dorsal,LHb.1,100,100,0.07185344398021698
MHb,Superior/Dorsal,LHb.1,100,100,-0.07922687381505966
MHb,Ventral,LHb.2,100,100,-0.12316526472568512
MHb,Ventral/Dorsal,LHb.2,100,100,0.03648320585489273
MHb,Lateral,LHb.2,100,100,0.16240598261356354
MHb,Dorsal,LHb.2,100,100,0.1100950688123703
MHb,Superior/Dorsal,LHb.2,100,100,-0.04747737571597099
MHb,Ventral,LHb.3,100,100,-0.07664619386196136
MHb,Ventral/Dorsal,LHb.3,100,100,0.02785525470972061
MHb,Lateral,LHb.3,100,100,0.11225058883428574
MHb,Dorsal,LHb.3,100,100,0.06572982668876648
MHb,Superior/Dorsal,LHb.3,100,100,-0.04802878573536873
MHb,Ventral,LHb.4,100,100,-0.07067114114761353
MHb,Ventral/Dorsal,LHb.4,100,100,0.025730563327670097
MHb,Lateral,LHb.4,100,100,0.10582257807254791
MHb,Dorsal,LHb.4,100,100,0.06442158669233322
MHb,Superior/Dorsal,LHb.4,100,100,-0.07023175060749054
MHb,Ventral,LHb.5,100,100,-0.08423923701047897
MHb,Ventral/Dorsal,LHb.5,100,100,0.007581321522593498
MHb,Lateral,LHb.5,100,100,0.14601413905620575
MHb,Dorsal,LHb.5,100,100,0.08577239513397217
MHb,Superior/Dorsal,LHb.5,100,100,-0.0910215824842453
MHb,Ventral,LHb.6,100,100,-0.10560879111289978
MHb,Ventral/Dorsal,LHb.6,100,100,0.046751413494348526
MHb,Lateral,LHb.6,100,100,0.11081643402576447
MHb,Dorsal,LHb.6,100,100,0.0863957330584526
MHb,Superior/Dorsal,LHb.6,100,100,-0.00043849748908542097
MHb,Ventral,LHb.7,100,100,-0.11197828501462936
MHb,Ventral/Dorsal,LHb.7,100,100,0.014406636357307434
MHb,Lateral,LHb.7,100,100,0.15038925409317017
MHb,Dorsal,LHb.7,100,100,0.11644595116376877
MHb,Superior/Dorsal,LHb.7,100,100,-0.08044466376304626
MHb,Ventral,MHb.1,100,100,-0.08146755397319794
MHb,Ventral/Dorsal,MHb.1,100,100,0.09503833204507828
MHb,Lateral,MHb.1,100,100,0.0842042863368988
MHb,Dorsal,MHb.1,100,100,0.030389077961444855
MHb,Superior/Dorsal,MHb.1,100,100,0.01752130687236786
MHb,Ventral,MHb.2,100,100,-0.1790882647037506
MHb,Ventral/Dorsal,MHb.2,100,100,0.06950145959854126
MHb,Lateral,MHb.2,100,100,0.022774292156100273
MHb,Dorsal,MHb.2,100,100,0.20457856357097626
MHb,Superior/Dorsal,MHb.2,100,100,-0.0449269600212574
MHb,Ventral,MHb.3,100,100,-0.04823090881109238
MHb,Ventral/Dorsal,MHb.3,100,100,0.05665256828069687
MHb,Lateral,MHb.3,100,100,-0.014581125229597092
MHb,Dorsal,MHb.3,100,100,0.04157315567135811
MHb,Superior/Dorsal,MHb.3,100,100,-0.026088688522577286
