compartment,mouse_region,human_cluster,human_marker_depth,mouse_marker_depth,n_mouse_markers,n_human_markers,n_overlap,odds_ratio,p_value,overlap_genes,p_adj_grid,p_adj_all_sensitivity_tests,neg_log10_p_adj_grid
MHb,Dorsal,LHb.2,200,200,193,199,25,11.270183360700601,6.812749187617509e-17,ADCY8;CACNA1C;CEP112;DOCK4;FOXP2;FRY;GALNT13;GPHN;LRRC7;MSI2;NCAM2;OPCML;PBX3;PDE1A;PLCL1;PRKD1;PTPRN2;RIMBP2;SEMA5A;SGCZ;THSD7A;TMEM117;TNIK;TRPM3;VAV3,4.866249419726791e-16,1.6515755606345474e-15,15.312805635060982
MHb,Dorsal,LHb.3,200,200,193,199,18,7.484704025256511,4.724177073434035e-10,CDH10;CELF2;CTNNA2;DCC;EBF1;GRIA1;INPP4B;LRRC4C;LSAMP;MGAT4C;NEDD4L;NKAIN3;NLGN1;NRCAM;PBX1;PTPRD;SNTG1;TMEFF2,1.6872060976550125e-09,4.78397678322434e-09,8.77283186370175
MHb,Dorsal,LHb.4,200,200,193,200,17,6.950850720317933,3.810462017493207e-09,BTBD11;CDH10;CELF2;FRMD4A;GRIA2;INPP4B;LRRC4C;LSAMP;NAV3;NEDD4L;NEGR1;NKAIN3;PACRG;PTPRD;SEMA5A;SNTG1;TMEFF2,1.1207241227921197e-08,3.2778167892414684e-08,7.950501280085042
MHb,Dorsal,LHb.5,200,200,193,200,18,7.443014128728414,5.127415422209914e-10,AGBL4;DLG2;DMD;DOK6;FRMD4A;LRRC7;LSAMP;NAV3;NEGR1;PBX1;PCLO;RALYL;RYR2;SEMA3E;SORBS2;SOX6;TENM1;TMTC2,1.7091384740699714e-09,5.064113997244359e-09,8.767222749398512
MHb,Dorsal,LHb.6,200,200,193,200,21,8.985091594127582,8.579550680495148e-13,CADM2;CADPS2;CNTNAP2;DCC;DLGAP1;GALNT13;GFRA1;GRIP1;KCTD8;LCORL;MCC;OPCML;PLD5;PRKD1;RIMS1;ROBO1;ROBO3;SYT9;TNR;TRPM3;VAV3,4.289775340247574e-12,1.2041474639291437e-11,11.367565451648753
MHb,Dorsal,LHb.7,200,200,193,199,31,15.017048794826573,1.2519529519254169e-23,CADPS2;CPNE4;CTNNA2;DOK6;DPP6;FGF14;FRY;GRIN2A;KCNN2;KLHL1;LRRC3B;MGAT4C;MSI2;MTUS2;NFAT5;NLGN1;NRG1;NRXN1;NTM;NWD2;PBX3;PDE4D;PRKCB;PRKD1;RBFOX3;RBMS3;RGS6;SGCZ;SYT1;THSD7A;TRPM3,1.564941189906771e-22,6.259764759627084e-22,21.80550197848742
MHb,Dorsal,MHb.1,200,200,193,192,14,5.788588286987634,6.30947815088682e-07,ASIC2;CPNE9;DLG2;EPHA7;GDPD5;IL1RAPL1;KCND2;KCNMA1;OPCML;PEX5L;PLCL1;PLD5;RIMS1;SCUBE1,1.5022567025921e-06,4.17155580223922e-06,5.82325584962641
MHb,Dorsal,MHb.2,200,200,193,200,48,28.747731397459166,4.2087916276218955e-46,ANK1;ANKS1B;ANO3;ASIC2;ATRNL1;CACNA1E;CADPS2;CDK14;CNNM2;CPNE9;DACH1;DGKB;DLGAP1;DPP10;EPHA6;EPHA7;GABBR2;GDPD5;GFRA1;HECW2;IL1RAPL1;KCNIP1;KCNMA1;KCTD8;LCORL;MCC;MDGA2;NRP2;NWD2;NXPH1;PARD3;PDE1A;PEX5L;PLCH2;PLD5;PTPRR;RGS6;ROBO3;RYR2;SCUBE1;SEMA6D;SLC24A2;SOX6;ST6GALNAC5;SYNPR;SYT9;TNR;VAV3,2.1043958138109476e-44,1.683516651048758e-43,43.67687257079838
MHb,Dorsal,MHb.3,200,200,193,200,19,7.945926208166635,6.46989324700115e-11,ASIC2;AUTS2;CDK14;DACH1;DPP10;EPHA7;FOXP2;LCORL;LRRC3B;NRP2;NXPH1;PEX5L;PLD5;SLC24A2;STXBP5L;SYNPR;SYT9;TMEFF2;ZDHHC14,2.695788852917146e-10,8.087366558751438e-10,9.569314126826647
MHb,Superior/Dorsal,LHb.1,200,200,194,200,4,1.4129967776584318,0.3219690439985197,ALCAM;KCNG4;SEMA3E;SSTR2,0.4127808256391278,0.5626458728861033,0.3842804846185553
MHb,Superior/Dorsal,LHb.2,200,200,194,199,12,4.641476170887936,2.9485804124230388e-05,ADCYAP1;CALY;CBLN2;GPM6A;GPR151;LY6H;PLXNC1;SPOCK2;SULF2;THSD7A;TSPAN13;TUSC3,5.8971608248460776e-05,0.00013635053930279947,4.2293570281674535
MHb,Superior/Dorsal,LHb.3,200,200,194,199,4,1.4203508771929825,0.31872598595507484,B3GAT1;GLRB;HS6ST2;PCSK1,0.4127808256391278,0.5626458728861033,0.3842804846185553
MHb,Superior/Dorsal,LHb.4,200,200,194,200,4,1.4129967776584318,0.3219690439985197,B3GAT1;GLRB;SCG2;SLC22A17,0.4127808256391278,0.5626458728861033,0.3842804846185553
MHb,Superior/Dorsal,LHb.5,200,200,194,200,4,1.4129967776584318,0.3219690439985197,ALCAM;GLRB;SCG2;SEMA3E,0.4127808256391278,0.5626458728861033,0.3842804846185553
MHb,Superior/Dorsal,LHb.6,200,200,194,200,11,4.1860236505045245,0.0001447100674452346,ADCYAP1;AMIGO2;GABBR1;GFRA1;NSG2;OLFM1;PDE2A;SLC5A7;SSTR2;THY1;TIMP2,0.0002679816063800641,0.000587655096224303,3.5718950138883057
MHb,Superior/Dorsal,LHb.7,200,200,194,199,7,2.565535873440285,0.024564925273775358,APP;CBLN2;CNTN1;GPR151;SULF2;SV2B;THSD7A,0.038382695740273996,0.05866250811647847,1.4158645266299354
MHb,Superior/Dorsal,MHb.1,200,200,194,192,16,6.728804902962207,1.595849998999842e-08,BSCL2;CHRNA3;CHRNB4;ITM2B;ITM2C;NPTX1;NRN1;PCSK1N;PDE2A;RNASEK;SCG2;SYT4;TAC1;TIMP2;TSPAN13;TSPAN7,4.4329166638884506e-08,1.329874999166535e-07,7.353310433093534
MHb,Superior/Dorsal,MHb.2,200,200,194,200,16,6.432340009770396,2.8488596045851963e-08,AMIGO2;CHRNA3;CHRNB4;CHST2;FZD1;GABBR1;GABBR2;GFRA1;LRRC55;NRP2;PCSK2;PDE2A;SLC17A7;SLC5A7;TSPAN13;ZIC1,7.496998959434727e-08,2.2565224590773832e-07,7.125112549432904
MHb,Superior/Dorsal,MHb.3,200,200,194,200,4,1.4129967776584318,0.3219690439985197,CHST2;NRP2;PRNP;SYT4,0.4127808256391278,0.5626458728861033,0.3842804846185553
MHb,Ventral,LHb.1,200,500,105,200,9,6.503108638743456,2.465720570582634e-05,CADPS;CAMK1D;CDH18;KCNIP4;MAST4;PDE4B;PLPP3;RAB3C;SPARCL1,5.1369178553804875e-05,0.00011811835068659325,4.2892973790372375
MHb,Ventral,LHb.2,200,500,105,199,5,3.4139175257731957,0.019275471848871163,GAP43;HTR2C;PITPNC1;SPOCK3;ZFHX3,0.031089470723985747,0.04630743987716796,1.5073866714469657
MHb,Ventral,LHb.3,200,500,105,199,6,4.159836709059507,0.004503883442979868,CADPS;CDH18;GAP43;RAB3C;SLC1A2;ZFHX3,0.007506472404966448,0.013965530055751529,2.124564107600227
MHb,Ventral,LHb.4,200,500,105,200,8,5.690721649484536,0.00016102733405203934,CADPS;CALM1;EDIL3;GRM7;IGFBP5;KCNIP4;RAB3C;ZFHX3,0.0002981987667630358,0.0006473460665408617,3.525494156956518
MHb,Ventral,LHb.5,200,500,105,200,9,6.503108638743456,2.465720570582634e-05,CADPS;CAMK1D;GRM7;KCNIP4;NPAS3;PDE4B;PITPNC1;PLPP3;RAB3C,5.1369178553804875e-05,0.00011811835068659325,4.2892973790372375
MHb,Ventral,LHb.6,200,500,105,200,2,1.298617240364813,0.46093265176036535,MBP;SLC4A4,0.6064903312636386,0.7795901086856073,0.2171761183131867
MHb,Ventral,LHb.7,200,500,105,199,4,2.69002284843869,0.06894910983425735,CDH18;HTR2C;PLCB1;ZFHX3,0.10773298411602711,0.14553901811980444,0.9676513103837744
MHb,Ventral,MHb.1,200,500,105,192,6,4.318670576735093,0.003783209111014106,CALB2;FTH1;HSP90AA1;HSPA8;PTN;SLC4A4,0.006522774329334666,0.01182252847191908,2.1855676466530545
MHb,Ventral,MHb.2,200,500,105,200,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Ventral,MHb.3,200,500,105,200,0,0.0,1.0,,1.0,1.0,-0.0
MHb,Ventral/Dorsal,LHb.1,200,500,471,200,3,0.41900950149681115,0.9721148746742879,KIFAP3;SNCA;TESC,1.0,1.0,-0.0
MHb,Ventral/Dorsal,LHb.2,200,500,471,199,5,0.7123578602716694,0.8264403909431067,CALY;LY6H;NCALD;TCF7L2;TSPAN13,0.9647528095761916,1.0,0.01558394799195339
MHb,Ventral/Dorsal,LHb.3,200,500,471,199,2,0.27874406069723895,0.9931407605761831,BASP1;STMN2,1.0,1.0,-0.0
