compartment,mouse_region,human_cluster,human_marker_depth,mouse_marker_depth,n_mouse_markers,n_human_markers,n_overlap,odds_ratio,p_value,overlap_genes,p_adj_grid,p_adj_all_sensitivity_tests,neg_log10_p_adj_grid
LHb,Marginal,MHb.1,50,100,95,50,0,0.0,1.0,,1.0,1.0,-0.0
LHb,Marginal,MHb.2,50,100,95,50,1,3.066869300911854,0.2843440586661895,TSPAN13,0.37912541155491936,0.3799169051072261,0.42121710523800027
LHb,Marginal,MHb.3,50,100,95,50,0,0.0,1.0,,1.0,1.0,-0.0
LHb,Oval/Medial,LHb.1,50,100,95,50,6,21.651174668028602,9.313371487146786e-07,CADPS;CNTN4;FAM135B;KCNJ3;NTNG1;SHISA9,5.321926564083878e-06,3.3299205317172867e-06,5.273931122462793
LHb,Oval/Medial,LHb.2,50,100,95,50,4,13.501194457716197,0.00033578695970128207,CSMD1;KIRREL3;LRRC7;RGS7,0.0011192898656709402,0.0008394673992532051,2.9510574284320517
LHb,Oval/Medial,LHb.3,50,100,95,50,8,30.942528735632184,1.2202628356982509e-09,CACNA1A;GRM1;HS6ST3;INPP4B;LRRC4C;MARCH1;PTPRD;RMST,1.2202628356982508e-08,5.961589426312066e-09,7.913546615391496
LHb,Oval/Medial,LHb.4,50,100,95,50,12,53.78693722257451,3.648890222854872e-16,ARPP21;CACNA1A;CHRM3;DAB1;FAM135B;FGF13;GABRB1;LRRTM4;NRXN3;PTPRD;RMST;SHISA9,7.297780445709744e-15,3.4855070785479373e-15,14.136809206557976
LHb,Oval/Medial,LHb.5,50,100,95,50,4,13.501194457716197,0.00033578695970128207,CACNA2D1;CNTN4;FAM135B;RBFOX1,0.0011192898656709402,0.0008394673992532051,2.9510574284320517
LHb,Oval/Medial,LHb.6,50,100,95,50,0,0.0,1.0,,1.0,1.0,-0.0
LHb,Oval/Medial,LHb.7,50,100,95,50,2,6.329301075268817,0.04369803563521122,GRIK2;RYR3,0.07945097388220221,0.07026819800636981,1.0999007749943708
LHb,Oval/Medial,MHb.1,50,100,95,50,0,0.0,1.0,,1.0,1.0,-0.0
LHb,Oval/Medial,MHb.2,50,100,95,50,2,6.329301075268817,0.04369803563521122,ASIC2;EPHA6,0.07945097388220221,0.07026819800636981,1.0999007749943708
LHb,Oval/Medial,MHb.3,50,100,95,50,1,3.066869300911854,0.2843440586661895,CACNA2D3,0.37912541155491936,0.3799169051072261,0.42121710523800027
LHb,Hbx,LHb.1,50,200,182,50,4,6.859794821690278,0.003732087609840063,EBF1;LHFPL3;NDST4;SEMA3D,0.007857026547031711,0.007754987241226105,2.1047417794744376
LHb,Hbx,LHb.2,50,200,182,50,11,23.172739541160595,2.6008472306364498e-11,ERBB4;FOXP2;GPR151;HTR4;KCNMB4;OPCML;OPRM1;PBX3;SGCZ;SLC8A1;THSD7B,2.0806777845091599e-10,1.5412428033401183e-10,9.681795169785698
LHb,Hbx,LHb.3,50,200,182,50,4,6.859794821690278,0.003732087609840063,HS6ST2;PCSK1;SNTG1;SORCS3,0.007857026547031711,0.007754987241226105,2.1047417794744376
LHb,Hbx,LHb.4,50,200,182,50,4,6.859794821690278,0.003732087609840063,BTBD11;CDH10;GABRG3;SNTG1,0.007857026547031711,0.007754987241226105,2.1047417794744376
LHb,Hbx,LHb.5,50,200,182,50,5,8.815442561205273,0.0004251585401498483,ERBB4;LUZP2;PBX1;SEMA3D;TLL1,0.0011337561070662622,0.0010385552125797822,2.945480360564232
LHb,Hbx,LHb.6,50,200,182,50,10,20.41860465116279,5.872035390449981e-10,BRINP3;GRM5;NDST4;PLD5;PTPRZ1;RAB27B;ROBO1;RSPO3;TENM2;THSD7B,3.914690260299988e-09,3.0553680080390145e-09,8.407302594669666
LHb,Hbx,LHb.7,50,200,182,50,9,17.82362892993092,1.1701919875636468e-08,CDH18;HTR2C;NLGN1;PBX3;PCDH11X;PRKD1;SGCZ;SLC2A13;THSD7A,5.850959937818234e-08,5.274104732681225e-08,7.232772875542339
LHb,Hbx,MHb.1,50,200,182,50,1,1.5829293043184125,0.4742421899196008,SYT6,0.581664217530038,0.6106941681057233,0.2353276520469781
LHb,Hbx,MHb.2,50,200,182,50,6,10.881198347107437,3.9526763141751995e-05,BRINP3;KCNMA1;KCTD8;LCORL;PLD5;SYT9,0.00013175587713917333,0.00011821088042393121,3.880230003423311
LHb,Hbx,MHb.3,50,200,182,50,0,0.0,1.0,,1.0,1.0,-0.0
LHb,Lateral,LHb.1,50,200,182,50,2,3.25,0.1334489659199123,FSTL5;LHFPL3,0.20945339334339613,0.20335080521129492,0.6789125992637342
LHb,Lateral,LHb.2,50,200,182,50,11,23.172739541160595,2.6008472306364498e-11,COL25A1;ERBB4;HTR4;PBX3;PCDH15;SGCZ;SLC8A1;SRGAP1;THSD7B;UNC5D;ZFHX4,2.0806777845091599e-10,1.5412428033401183e-10,9.681795169785698
LHb,Lateral,LHb.3,50,200,182,50,5,8.815442561205273,0.0004251585401498483,INPP4B;KCNH8;PTPRD;SNTG1;TMEFF2,0.0011337561070662622,0.0010385552125797822,2.945480360564232
LHb,Lateral,LHb.4,50,200,182,50,4,6.859794821690278,0.003732087609840063,BTBD11;NELL1;PTPRD;SNTG1,0.007857026547031711,0.007754987241226105,2.1047417794744376
LHb,Lateral,LHb.5,50,200,182,50,6,10.881198347107437,3.9526763141751995e-05,ADGRL3;CNTN6;ERBB4;IL1RAPL2;KCNC2;PBX1,0.00013175587713917333,0.00011821088042393121,3.880230003423311
LHb,Lateral,LHb.6,50,200,182,50,5,8.815442561205273,0.0004251585401498483,GRM5;PARM1;ROBO1;TENM2;THSD7B,0.0011337561070662622,0.0010385552125797822,2.945480360564232
LHb,Lateral,LHb.7,50,200,182,50,18,48.21036585365854,4.295979231912004e-22,CCDC85A;CHRM2;COL25A1;CPNE4;GRID1;GRIK2;HTR2C;KCNH7;KLHL29;MAPK4;NLGN1;PBX3;PCDH11X;PRKD1;SGCZ;SLC24A3;SLC2A13;THSD7A,1.7183916927648015e-20,6.248697064599278e-21,19.764877835488875
LHb,Lateral,MHb.1,50,200,182,50,1,1.5829293043184125,0.4742421899196008,RIMS1,0.581664217530038,0.6106941681057233,0.2353276520469781
LHb,Lateral,MHb.2,50,200,182,50,3,5.00689409247593,0.025810251402346877,KCNMA1;KCTD8;LCORL,0.04692772982244887,0.04464475918243784,1.3285704547248716
LHb,Lateral,MHb.3,50,200,182,50,0,0.0,1.0,,1.0,1.0,-0.0
LHb,Marginal,LHb.1,50,200,193,50,1,1.4910714285714286,0.49441458490053236,SPARCL1,0.581664217530038,0.6141369295194427,0.2353276520469781
LHb,Marginal,LHb.2,50,200,193,50,2,3.0604275741710296,0.14661737534037728,GPM6A;GPR151,0.20945339334339613,0.21669609055875866,0.6789125992637342
LHb,Marginal,LHb.3,50,200,193,50,4,6.455486542443064,0.004597403532408398,GABRA1;LGI2;PCDH17;TMEM47,0.008756959109349328,0.008889239458433154,2.057646678227165
LHb,Marginal,LHb.4,50,200,193,50,1,1.4910714285714286,0.49441458490053236,CBLN1,0.581664217530038,0.6141369295194427,0.2353276520469781
LHb,Marginal,LHb.5,50,200,193,50,0,0.0,1.0,,1.0,1.0,-0.0
LHb,Marginal,LHb.6,50,200,193,50,0,0.0,1.0,,1.0,1.0,-0.0
LHb,Marginal,LHb.7,50,200,193,50,2,3.0604275741710296,0.14661737534037728,CBLN2;CNTN1,0.20945339334339613,0.21669609055875866,0.6789125992637342
LHb,Marginal,MHb.1,50,200,193,50,0,0.0,1.0,,1.0,1.0,-0.0
LHb,Marginal,MHb.2,50,200,193,50,1,1.4910714285714286,0.49441458490053236,TSPAN13,0.581664217530038,0.6141369295194427,0.2353276520469781
LHb,Marginal,MHb.3,50,200,193,50,0,0.0,1.0,,1.0,1.0,-0.0
LHb,Oval/Medial,LHb.1,50,200,189,50,9,17.121951219512194,1.6260214185898245e-08,CADPS;CNTN4;FAM135B;GPC6;KCNJ3;NTNG1;SHISA9;SRRM4;TOX,7.22676186039922e-08,7.127765122585532e-08,7.14105625611893
LHb,Oval/Medial,LHb.2,50,200,189,50,7,12.556350626118068,3.948631818765236e-06,CSMD1;KIRREL3;LDB2;LRRC7;OPCML;PRICKLE2;RGS7,1.5794527275060942e-05,1.330065454741974e-05,4.8014933678534675
LHb,Oval/Medial,LHb.3,50,200,189,50,12,25.05441570026762,1.6056973412660459e-12,CACNA1A;CSMD2;GRIK1;GRM1;HS6ST3;INPP4B;LRRC4C;MARCH1;PCDH7;PTPRD;PTPRG;RMST,2.140929788354728e-11,1.117006846098119e-11,10.66939757512971
LHb,Oval/Medial,LHb.4,50,200,189,50,16,38.210132607956474,1.5675781649695266e-18,ARPP21;CACNA1A;CAMK2A;CHRM3;DAB1;EDIL3;FAM135B;FGF13;GABRB1;GABRG3;GRM8;LRRTM4;NRXN3;PTPRD;RMST;SHISA9,3.135156329939053e-17,1.700423772170334e-17,16.50374079884055
LHb,Oval/Medial,LHb.5,50,200,189,50,10,19.610335195530727,8.49163625281569e-10,ADGRL3;CACNA2D1;CAMK2A;CNTN4;FAM135B;GRIK1;KCNC2;PLXNA4;PTPRG;RBFOX1,4.852363573037537e-09,4.245818126407845e-09,8.314046666204389
LHb,Oval/Medial,LHb.6,50,200,189,50,1,1.523230568823274,0.48716850137829376,PRICKLE1,0.581664217530038,0.6141369295194427,0.2353276520469781
LHb,Oval/Medial,LHb.7,50,200,189,50,4,6.596944770857815,0.004268546337297568,CDH18;GRIK2;PLCB1;RYR3,0.008537092674595136,0.008472330732162843,2.068690004059547
LHb,Oval/Medial,MHb.1,50,200,189,50,2,3.126782531194296,0.14179666115771875,PLEKHA5;RIMS1,0.20945339334339613,0.21252895349166273,0.6789125992637342
LHb,Oval/Medial,MHb.2,50,200,189,50,3,4.816060398078243,0.02843653174448072,ASIC2;EPHA6;PEX5L,0.04739421957413454,0.048791904333693466,1.3242746237297298
LHb,Oval/Medial,MHb.3,50,200,189,50,3,4.816060398078243,0.02843653174448072,CACNA2D3;NXPH1;SLIT3,0.04739421957413454,0.048791904333693466,1.3242746237297298
LHb,Hbx,LHb.1,50,500,450,50,5,3.439450686641698,0.020168690453218067,EBF1;FSTL5;LHFPL3;NDST4;SEMA3D,0.03226990472514891,0.03526765543732121,1.49120231682117
LHb,Hbx,LHb.2,50,500,450,50,14,12.29459734964322,2.6122679798914234e-10,ERBB4;FOXP2;GPR151;HTR4;KCNMB4;OPCML;OPRM1;PBX3;PPP1R9A;PTPRQ;SGCZ;SLC8A1;THSD7B;VWA5B1,1.3061339899457116e-09,1.4412512992504405e-09,8.884012268612874
LHb,Hbx,LHb.3,50,500,450,50,6,4.2309582309582305,0.004669644166073773,GPR158;HS6ST2;PCSK1;SNTG1;SORCS3;TENM3,0.008894560316330997,0.008974691490351997,2.050875515473346
LHb,Hbx,LHb.4,50,500,450,50,5,3.439450686641698,0.020168690453218067,BTBD11;CDH10;GABRG3;SNTG1;TMEM196,0.03226990472514891,0.03526765543732121,1.49120231682117
LHb,Hbx,LHb.5,50,500,450,50,7,5.062680455666964,0.0009147031829622719,CDH7;ERBB4;LUZP2;PBX1;SEMA3D;TLL1;TRPC4,0.0022867579574056794,0.0021287637712576507,2.640779800992733
LHb,Hbx,LHb.6,50,500,450,50,14,12.29459734964322,2.6122679798914234e-10,AMIGO2;BRINP3;CASZ1;GRM5;MARCH4;NDST4;PLD5;PTPRZ1;RAB27B;ROBO1;RSPO3;SSTR2;TENM2;THSD7B,1.3061339899457116e-09,1.4412512992504405e-09,8.884012268612874
LHb,Hbx,LHb.7,50,500,450,50,15,13.58128078817734,1.9685162805290994e-11,CBLN2;CDH18;CPNE4;HTR2C;KCNH7;NLGN1;PBX3;PCDH11X;PRKCA;PRKD1;PTPRQ;SGCZ;SLC2A13;SV2B;THSD7A,1.5748130244232795e-10,1.188538131640211e-10,9.80277100205315
LHb,Hbx,MHb.1,50,500,450,50,6,4.2309582309582305,0.004669644166073773,CABLES1;GUCY1A1;KCNK13;MYO1B;RIMS1;SYT6,0.008894560316330997,0.008974691490351997,2.050875515473346
LHb,Hbx,MHb.2,50,500,450,50,8,5.937513466925232,0.00015405109152554576,BRINP3;GABBR2;GUCY1A1;KCNMA1;KCTD8;LCORL;PLD5;SYT9,0.0004740033585401408,0.00041425503603508104,3.324218581131225
LHb,Hbx,MHb.3,50,500,450,50,2,1.2808779761904763,0.4708476412528165,NXPH1;SLIT3,0.566979986717057,0.6087727078824294,0.2464322705810694
LHb,Lateral,LHb.1,50,500,466,50,5,3.316220776090624,0.023058552051900202,DPF3;FSTL5;GRIK4;LHFPL3;RAB3C,0.034160817854666965,0.040101829655478614,1.466471740280545
LHb,Lateral,LHb.2,50,500,466,50,15,13.084257206208425,3.227548443199915e-11,COL25A1;ERBB4;HTR4;PBX3;PCDH15;PTPRQ;RGS7;SGCZ;SLC8A1;SPHKAP;SRGAP1;THSD7B;UNC5D;VWC2;ZFHX4,2.1516989621332767e-10,1.8950743152733444e-10,9.667218489617914
LHb,Lateral,LHb.3,50,500,466,50,14,11.845624385447394,4.127813526326011e-10,FRMD3;GPR158;HS6ST2;INPP4B;KCNH8;LRRC4C;NEDD4L;PLCL2;PTCHD4;PTPRD;SNTG1;SORCS3;TENM3;TMEFF2,1.834583789478227e-09,2.2388141159734297e-09,8.736462448270512
LHb,Lateral,LHb.4,50,500,466,50,7,4.880528955768354,0.0011213162958782913,BTBD11;DAB1;NEDD4L;NELL1;PLCB4;PTPRD;SNTG1,0.002360665886059561,0.002535838973010977,2.6269654759067547
LHb,Lateral,LHb.5,50,500,466,50,8,5.723435225618632,0.0001956883181333062,ADGRL3;CNTN6;ERBB4;IL1RAPL2;KCNC2;PBX1;TLL1;TRPC4,0.0005218355150221498,0.0005218355150221498,3.2824663670654823
LHb,Lateral,LHb.6,50,500,466,50,8,5.723435225618632,0.0001956883181333062,GRM5;MCC;MME;PARM1;PTPRZ1;ROBO1;TENM2;THSD7B,0.0005218355150221498,0.0005218355150221498,3.2824663670654823
LHb,Lateral,LHb.7,50,500,466,50,27,36.85124294344855,1.9332213099181026e-27,CBLN2;CCDC85A;CHRM2;COL25A1;CPNE4;GRID1;GRIK2;GRM3;HIPK2;HTR2C;KCNH7;KLHL29;LRRC3B;MAPK4;NLGN1;PBX3;PCDH11X;PLCH1;PRKD1;PTPRQ;RUNX1T1;SGCZ;SLC24A3;SLC2A13;SV2B;THSD7A;VWC2,7.73288523967241e-26,4.7586986090291755e-26,25.11165843494633
LHb,Lateral,MHb.1,50,500,466,50,3,1.8965580625890355,0.22333510027465625,FRMD4B;MME;RIMS1,0.2861199259762702,0.30938195709043287,0.5434518959864132
LHb,Lateral,MHb.2,50,500,466,50,7,4.880528955768354,0.0011213162958782913,GABBR2;KCNMA1;KCTD8;LCORL;MCC;ROBO3;VAV2,0.002360665886059561,0.002535838973010977,2.6269654759067547
LHb,Lateral,MHb.3,50,500,466,50,0,0.0,1.0,,1.0,1.0,-0.0
LHb,Marginal,LHb.1,50,500,472,50,1,0.5957363837254647,0.8145059267370272,SPARCL1,0.8573746597231865,0.9725443901337637,0.06682935649720856
