compartment,mouse_region,human_cluster,module_marker_depth,n_marker_genes_mapped,mean_module_score
LHb,Oval/Medial,LHb.7,25,25,0.0004915312747471035
LHb,Hbx,MHb.1,25,25,0.035530682653188705
LHb,Lateral,MHb.1,25,25,0.015358091332018375
LHb,Marginal,MHb.1,25,25,0.02254047617316246
LHb,Oval/Medial,MHb.1,25,25,-0.008607113733887672
LHb,Hbx,MHb.2,25,25,0.12071967124938965
LHb,Lateral,MHb.2,25,25,0.05458584800362587
LHb,Marginal,MHb.2,25,25,-0.12087728828191757
LHb,Oval/Medial,MHb.2,25,25,0.0028035149443894625
LHb,Hbx,MHb.3,25,25,0.014628804288804531
LHb,Lateral,MHb.3,25,25,-0.06002989038825035
LHb,Marginal,MHb.3,25,25,-0.0632486641407013
LHb,Oval/Medial,MHb.3,25,25,0.014209821820259094
LHb,Hbx,LHb.1,50,50,-0.01576598547399044
LHb,Lateral,LHb.1,50,50,0.01111918780952692
LHb,Marginal,LHb.1,50,50,-0.09140484780073166
LHb,Oval/Medial,LHb.1,50,50,0.015523262321949005
LHb,Hbx,LHb.2,50,50,0.11166761815547943
LHb,Lateral,LHb.2,50,50,0.12417437881231308
LHb,Marginal,LHb.2,50,50,-0.11712909489870071
LHb,Oval/Medial,LHb.2,50,50,-0.003093770705163479
LHb,Hbx,LHb.3,50,50,-0.06692039966583252
LHb,Lateral,LHb.3,50,50,0.043334633111953735
LHb,Marginal,LHb.3,50,50,-0.09028749912977219
LHb,Oval/Medial,LHb.3,50,50,0.01759706437587738
LHb,Hbx,LHb.4,50,50,-0.11554048210382462
LHb,Lateral,LHb.4,50,50,-0.061418745666742325
LHb,Marginal,LHb.4,50,50,-0.15969575941562653
LHb,Oval/Medial,LHb.4,50,50,0.0431261770427227
LHb,Hbx,LHb.5,50,50,-0.03540810942649841
LHb,Lateral,LHb.5,50,50,0.0022728671319782734
LHb,Marginal,LHb.5,50,50,-0.14893686771392822
LHb,Oval/Medial,LHb.5,50,50,0.027677062898874283
LHb,Hbx,LHb.6,50,50,0.21617180109024048
LHb,Lateral,LHb.6,50,50,0.05665215104818344
LHb,Marginal,LHb.6,50,50,-0.02826303243637085
LHb,Oval/Medial,LHb.6,50,50,-0.022070201113820076
LHb,Hbx,LHb.7,50,50,0.052937306463718414
LHb,Lateral,LHb.7,50,50,0.261481910943985
LHb,Marginal,LHb.7,50,50,-0.12959174811840057
LHb,Oval/Medial,LHb.7,50,50,-0.007393239997327328
LHb,Hbx,MHb.1,50,50,0.03483787178993225
LHb,Lateral,MHb.1,50,50,0.010005053132772446
LHb,Marginal,MHb.1,50,50,-0.0060137733817100525
LHb,Oval/Medial,MHb.1,50,50,-0.0033962770830839872
LHb,Hbx,MHb.2,50,50,0.09561524540185928
LHb,Lateral,MHb.2,50,50,0.027239641174674034
LHb,Marginal,MHb.2,50,50,-0.07332207262516022
LHb,Oval/Medial,MHb.2,50,50,-1.8879158233175986e-05
LHb,Hbx,MHb.3,50,50,-0.002330306451767683
LHb,Lateral,MHb.3,50,50,-0.05599399283528328
LHb,Marginal,MHb.3,50,50,-0.05864521116018295
LHb,Oval/Medial,MHb.3,50,50,0.014796851202845573
LHb,Hbx,LHb.1,100,100,-0.020286737009882927
LHb,Lateral,LHb.1,100,100,0.03758615255355835
LHb,Marginal,LHb.1,100,100,-0.13265569508075714
LHb,Oval/Medial,LHb.1,100,100,0.020360754802823067
LHb,Hbx,LHb.2,100,100,0.11061868071556091
LHb,Lateral,LHb.2,100,100,0.12468362599611282
LHb,Marginal,LHb.2,100,100,-0.12584088742733002
LHb,Oval/Medial,LHb.2,100,100,-0.001610744628123939
LHb,Hbx,LHb.3,100,100,-0.06579490751028061
LHb,Lateral,LHb.3,100,100,0.036407921463251114
LHb,Marginal,LHb.3,100,100,-0.11021437495946884
LHb,Oval/Medial,LHb.3,100,100,0.02135625295341015
LHb,Hbx,LHb.4,100,100,-0.10953423380851746
LHb,Lateral,LHb.4,100,100,-0.04421326890587807
LHb,Marginal,LHb.4,100,100,-0.16476617753505707
LHb,Oval/Medial,LHb.4,100,100,0.04182221740484238
LHb,Hbx,LHb.5,100,100,-0.07415049523115158
LHb,Lateral,LHb.5,100,100,0.003797347890213132
LHb,Marginal,LHb.5,100,100,-0.16476468741893768
LHb,Oval/Medial,LHb.5,100,100,0.03400701656937599
LHb,Hbx,LHb.6,100,100,0.1989554762840271
LHb,Lateral,LHb.6,100,100,0.05884730815887451
LHb,Marginal,LHb.6,100,100,-0.06889896094799042
LHb,Oval/Medial,LHb.6,100,100,-0.01390233263373375
LHb,Hbx,LHb.7,100,100,0.056171171367168427
LHb,Lateral,LHb.7,100,100,0.23390230536460876
LHb,Marginal,LHb.7,100,100,-0.12982073426246643
LHb,Oval/Medial,LHb.7,100,100,-0.005225699860602617
LHb,Hbx,MHb.1,100,100,0.06255626678466797
