compartment,mouse_region,mouse_gene,gene_upper,mean_log_expr,pct_expr,mouse_logFC_vs_other_regions,excluded_gene
MHb,Superior/Dorsal,Lnx2,LNX2,0.0060497904,0.0027397260273972603,-0.0048868675,False
MHb,Superior/Dorsal,Polr1d,POLR1D,0.14578615,0.06575342465753427,-0.054314762,False
MHb,Superior/Dorsal,Gsx1,GSX1,0.0,0.0,-0.0010023242,False
MHb,Superior/Dorsal,Flt3,FLT3,0.0032468224,0.0013698630136986301,-0.008102246,False
MHb,Superior/Dorsal,Gm26597,GM26597,0.0,0.0,-0.00036982135,False
MHb,Superior/Dorsal,D5Ertd605e,D5ERTD605E,0.0,0.0,-0.00041452626,False
MHb,Superior/Dorsal,Pan3,PAN3,0.21618527,0.09726027397260263,-0.18584469,False
MHb,Superior/Dorsal,Flt1,FLT1,0.030066708,0.013698630136986299,-0.030629994,False
MHb,Superior/Dorsal,Pomp,POMP,0.18565486,0.07945205479452051,-0.16173862,False
MHb,Superior/Dorsal,Slc46a3,SLC46A3,0.009228995,0.004109589041095891,-0.007155137,False
MHb,Superior/Dorsal,Gm15721,GM15721,0.0,0.0,-0.0036858746,False
MHb,Superior/Dorsal,Mtus2,MTUS2,0.35010624,0.14794520547945175,-0.39156866,False
MHb,Superior/Dorsal,Slc7a1,SLC7A1,0.2258007,0.09863013698630126,0.11990605,False
MHb,Superior/Dorsal,Ubl3,UBL3,0.62475663,0.2547945205479445,0.12547836,False
MHb,Superior/Dorsal,Katnal1,KATNAL1,0.086925775,0.03972602739726029,0.0006663576,False
MHb,Superior/Dorsal,Gm15406,GM15406,0.0,0.0,-0.0013371166,False
MHb,Superior/Dorsal,Gm15409,GM15409,0.0,0.0,-0.00045649052,False
MHb,Superior/Dorsal,Gm15408,GM15408,0.0,0.0,-0.00044771633,False
MHb,Superior/Dorsal,Hmgb1,HMGB1,0.37379193,0.15342465753424625,-0.21486813,False
MHb,Superior/Dorsal,Gm42788,GM42788,0.00097341434,0.0013698630136986301,-0.0033175785,False
MHb,Superior/Dorsal,Uspl1,USPL1,0.069116525,0.0315068493150685,0.0040586144,False
MHb,Superior/Dorsal,Gm29264,GM29264,0.0,0.0,-0.0014430888,False
MHb,Superior/Dorsal,Alox5ap,ALOX5AP,0.021475112,0.00958904109589041,0.0052143876,False
MHb,Superior/Dorsal,Gm19719,GM19719,0.0,0.0,-0.001361454,False
MHb,Superior/Dorsal,BC028471,BC028471,0.0,0.0,-0.00084473426,False
MHb,Superior/Dorsal,Medag,MEDAG,0.0029511116,0.0013698630136986301,-0.0014798422,False
MHb,Superior/Dorsal,Tex26,TEX26,0.0,0.0,-0.0032562881,False
MHb,Superior/Dorsal,Gm15997,GM15997,0.0,0.0,-0.0011890541,False
MHb,Superior/Dorsal,Wdr95,WDR95,0.0037916626,0.0013698630136986301,-0.004419909,False
MHb,Superior/Dorsal,Hsph1,HSPH1,0.2479542,0.106849315068493,-0.05187221,False
MHb,Superior/Dorsal,B3glct,B3GLCT,0.1387234,0.0575342465753425,0.060740747,False
MHb,Superior/Dorsal,Rxfp2,RXFP2,0.0380112,0.01780821917808219,-0.010969121,False
MHb,Superior/Dorsal,Fry,FRY,0.5685918,0.2342465753424651,-0.34776825,False
MHb,Superior/Dorsal,Gm5,GM5,0.0,0.0,-0.0048183287,False
MHb,Superior/Dorsal,Zar1l,ZAR1L,0.00089453714,0.0013698630136986301,0.00029459834,False
MHb,Superior/Dorsal,Brca2,BRCA2,0.020829188,0.01095890410958904,-0.0148142595,False
MHb,Superior/Dorsal,N4bp2l1,N4BP2L1,0.047262467,0.02602739726027398,-0.066421136,False
MHb,Superior/Dorsal,Gm43597,GM43597,0.030644603,0.015068493150684929,0.0066570006,False
MHb,Superior/Dorsal,N4bp2l2,N4BP2L2,0.17937098,0.08219178082191776,-0.090727046,False
MHb,Superior/Dorsal,Pds5b,PDS5B,0.2955788,0.1232876712328765,-0.025914103,False
MHb,Superior/Dorsal,Kl,KL,0.014182019,0.005479452054794521,0.005321637,False
MHb,Superior/Dorsal,Stard13,STARD13,0.007665555,0.0027397260273972603,0.0006156303,False
MHb,Superior/Dorsal,D730045B01Rik,D730045B01RIK,0.0,0.0,-0.0033713276,False
MHb,Superior/Dorsal,Rfc3,RFC3,0.010941186,0.005479452054794521,-0.018218167,False
MHb,Superior/Dorsal,Samd9l,SAMD9L,0.0018492147,0.0013698630136986301,-0.0021762154,False
MHb,Superior/Dorsal,Hepacam2,HEPACAM2,0.0,0.0,-0.002340932,False
MHb,Superior/Dorsal,Vps50,VPS50,0.15683958,0.07123287671232877,-0.03104952,False
MHb,Superior/Dorsal,Tfpi2,TFPI2,0.0,0.0,-0.00061146216,False
MHb,Superior/Dorsal,Gng11,GNG11,0.049687646,0.019178082191780823,-0.04459206,False
MHb,Superior/Dorsal,Bet1,BET1,0.02043145,0.01232876712328767,-0.040879034,False
MHb,Superior/Dorsal,Col1a2,COL1A2,0.0,0.0,-0.0059857094,False
MHb,Superior/Dorsal,Casd1,CASD1,0.32167172,0.13835616438356138,0.1456284,False
MHb,Superior/Dorsal,Sgce,SGCE,0.09028161,0.03972602739726029,-0.054334886,False
MHb,Superior/Dorsal,Peg10,PEG10,0.026738502,0.00958904109589041,0.0063614286,False
MHb,Superior/Dorsal,Ppp1r9a,PPP1R9A,0.30718306,0.13150684931506826,-0.08754742,False
MHb,Superior/Dorsal,Pon1,PON1,0.0,0.0,-0.00021434628,False
MHb,Superior/Dorsal,Pon3,PON3,0.0,0.0,-0.0016532335,False
MHb,Superior/Dorsal,Pon2,PON2,0.019116119,0.00821917808219178,-0.0050959196,False
MHb,Superior/Dorsal,Asb4,ASB4,0.0,0.0,-0.0031371787,False
MHb,Superior/Dorsal,Pdk4,PDK4,0.0037916626,0.0013698630136986301,0.0003559743,False
MHb,Superior/Dorsal,Dync1i1,DYNC1I1,0.20493768,0.08630136986301364,-0.16837539,False
MHb,Superior/Dorsal,Slc25a13,SLC25A13,0.009771483,0.004109589041095891,-0.0040166415,False
MHb,Superior/Dorsal,Gm20619,GM20619,0.0,0.0,-0.000105901236,False
MHb,Superior/Dorsal,Dlx6os1,DLX6OS1,0.0,0.0,-0.00073712907,False
MHb,Superior/Dorsal,Sdhaf3,SDHAF3,0.050415054,0.023287671232876717,-0.0153117925,False
MHb,Superior/Dorsal,Tac1,TAC1,0.5215978,0.17123287671232837,0.37404138,False
MHb,Superior/Dorsal,Asns,ASNS,0.09125091,0.04109589041095892,-0.041328132,False
MHb,Superior/Dorsal,C1galt1,C1GALT1,0.04854198,0.02465753424657535,-0.002832219,False
MHb,Superior/Dorsal,Col28a1,COL28A1,0.0,0.0,-0.0032196883,False
MHb,Superior/Dorsal,Mios,MIOS,0.040002447,0.01643835616438356,-0.04296987,False
MHb,Superior/Dorsal,Rpa3,RPA3,0.042494465,0.01780821917808219,-0.00463346,False
MHb,Superior/Dorsal,Umad1,UMAD1,0.08028478,0.03835616438356166,0.023074899,False
MHb,Superior/Dorsal,Gm16055,GM16055,0.00071545533,0.0013698630136986301,-0.004689398,False
MHb,Superior/Dorsal,Glcci1,GLCCI1,0.042780858,0.01780821917808219,0.02165934,False
MHb,Superior/Dorsal,Ica1,ICA1,0.2933762,0.13013698630136963,-0.2130093,False
MHb,Superior/Dorsal,Nxph1,NXPH1,0.43971604,0.172602739726027,-0.2421931,False
MHb,Superior/Dorsal,Ndufa4,NDUFA4,1.3745025,0.4958904109589024,0.18867004,False
MHb,Superior/Dorsal,Phf14,PHF14,0.3623887,0.1561643835616435,-0.25309238,False
MHb,Superior/Dorsal,Thsd7a,THSD7A,1.9741359,0.6479452054794557,0.4472617,False
MHb,Superior/Dorsal,Tmem106b,TMEM106B,0.62380564,0.25342465753424587,0.41153476,False
MHb,Superior/Dorsal,Vwde,VWDE,0.0,0.0,-0.008413582,False
MHb,Superior/Dorsal,Tmem168,TMEM168,0.056286816,0.023287671232876717,0.021938972,False
MHb,Superior/Dorsal,Gpr85,GPR85,0.24897797,0.11095890410958888,0.13786374,False
MHb,Superior/Dorsal,Foxp2,FOXP2,0.6023321,0.22602739726027335,-0.01742673,False
MHb,Superior/Dorsal,Mdfic,MDFIC,0.0,0.0,-0.0075155054,False
MHb,Superior/Dorsal,Tfec,TFEC,0.0,0.0,-0.00073235336,False
MHb,Superior/Dorsal,Gm15473,GM15473,0.0,0.0,-0.0016701901,False
MHb,Superior/Dorsal,Gm4876,GM4876,0.2674288,0.11506849315068475,-0.18807667,False
MHb,Superior/Dorsal,Tes,TES,0.03023288,0.015068493150684929,-0.016093757,False
MHb,Superior/Dorsal,D830026I12Rik,D830026I12RIK,0.0,0.0,-0.00021757337,False
MHb,Superior/Dorsal,Gm15581,GM15581,0.0,0.0,-0.0009523891,False
MHb,Superior/Dorsal,Cav2,CAV2,0.09336075,0.043835616438356186,0.050878476,False
MHb,Superior/Dorsal,Cav1,CAV1,0.007853521,0.0027397260273972603,0.0002922588,False
MHb,Superior/Dorsal,Met,MET,0.0,0.0,-0.00068988814,False
MHb,Superior/Dorsal,Capza2,CAPZA2,0.30326366,0.12739726027397238,-0.046121567,False
MHb,Superior/Dorsal,St7,ST7,0.16864336,0.07671232876712326,-0.13549331,False
MHb,Superior/Dorsal,Wnt2,WNT2,0.006543467,0.0027397260273972603,0.0012244922,False
MHb,Superior/Dorsal,Cftr,CFTR,0.11679087,0.05068493150684934,-0.07762585,False
MHb,Superior/Dorsal,Cttnbp2,CTTNBP2,0.37603042,0.16027397260273937,-0.4422367,False
MHb,Superior/Dorsal,Gm15594,GM15594,0.008879198,0.005479452054794521,-0.027782021,False
MHb,Superior/Dorsal,Lsm8,LSM8,0.043671556,0.020547945205479454,-0.027355053,False
MHb,Superior/Dorsal,Kcnd2,KCND2,2.4448304,0.6945205479452108,-1.0116577,False
MHb,Superior/Dorsal,Tspan12,TSPAN12,0.15547211,0.06849315068493152,0.0064540654,False
MHb,Superior/Dorsal,Gm3289,GM3289,0.0,0.0,-0.00075354724,False
MHb,Superior/Dorsal,Ing3,ING3,0.05495992,0.02602739726027398,-0.034440327,False
MHb,Superior/Dorsal,Cped1,CPED1,0.0,0.0,-0.010552874,False
MHb,Superior/Dorsal,Fam3c,FAM3C,0.17526726,0.07123287671232877,0.07900931,False
MHb,Superior/Dorsal,Ptprz1,PTPRZ1,0.58317304,0.22602739726027335,0.058609545,False
MHb,Superior/Dorsal,Aass,AASS,0.0,0.0,-0.0025454895,False
MHb,Superior/Dorsal,Cadps2,CADPS2,0.950159,0.35342465753424546,-0.62662023,False
MHb,Superior/Dorsal,Slc13a1,SLC13A1,0.0027421329,0.0013698630136986301,0.0005467641,False
MHb,Superior/Dorsal,Iqub,IQUB,0.008116666,0.004109589041095891,-0.031438705,False
MHb,Superior/Dorsal,Ndufa5,NDUFA5,0.58100116,0.22602739726027335,-0.072558105,False
MHb,Superior/Dorsal,Asb15,ASB15,0.004144756,0.0013698630136986301,0.0023989044,False
MHb,Superior/Dorsal,Wasl,WASL,0.18450218,0.08219178082191776,-0.054456994,False
MHb,Superior/Dorsal,Tmem229a,TMEM229A,0.043572664,0.01780821917808219,-0.005944025,False
MHb,Superior/Dorsal,Gpr37,GPR37,0.025453024,0.00958904109589041,-0.021429788,False
MHb,Superior/Dorsal,Pot1a,POT1A,0.04710318,0.021917808219178086,-0.02509451,False
MHb,Superior/Dorsal,Grm8,GRM8,0.07927947,0.028767123287671243,-0.07072981,False
MHb,Superior/Dorsal,Zfp800,ZFP800,0.053987596,0.02465753424657535,-0.027597751,False
MHb,Superior/Dorsal,Gcc1,GCC1,0.016262822,0.00684931506849315,-0.0034934022,False
MHb,Superior/Dorsal,Arf5,ARF5,0.29949138,0.1232876712328765,-0.0032062232,False
MHb,Superior/Dorsal,Snd1,SND1,0.12661888,0.05479452054794524,-0.0928216,False
MHb,Superior/Dorsal,Lrrc4,LRRC4,0.04070156,0.019178082191780823,-0.028783672,False
MHb,Superior/Dorsal,Rbm28,RBM28,0.0972668,0.04657534246575345,-0.08036133,False
MHb,Superior/Dorsal,Prrt4,PRRT4,0.006817865,0.0027397260273972603,0.003943475,False
MHb,Superior/Dorsal,Impdh1,IMPDH1,0.13437663,0.06438356164383564,-0.13758059,False
MHb,Superior/Dorsal,Hilpda,HILPDA,0.020372631,0.00958904109589041,0.007836858,False
MHb,Superior/Dorsal,Fam71f2,FAM71F2,0.0065333284,0.0027397260273972603,0.0048562284,False
MHb,Superior/Dorsal,Calu,CALU,0.18929318,0.07671232876712326,0.10335223,False
MHb,Superior/Dorsal,Opn1sw,OPN1SW,0.0,0.0,-0.00012042966,False
MHb,Superior/Dorsal,Ccdc136,CCDC136,0.13311496,0.06027397260273976,-0.07528569,False
MHb,Superior/Dorsal,Flnc,FLNC,0.003928434,0.0027397260273972603,0.002137688,False
MHb,Superior/Dorsal,Atp6v1f,ATP6V1F,0.31100813,0.13150684931506826,-0.14348686,False
MHb,Superior/Dorsal,Kcp,KCP,0.0028006237,0.0013698630136986301,-0.00035583158,False
MHb,Superior/Dorsal,Irf5,IRF5,0.0033727628,0.0013698630136986301,-0.0022523357,False
MHb,Superior/Dorsal,Tnpo3,TNPO3,0.13287412,0.061643835616438394,-0.06008394,False
MHb,Superior/Dorsal,Tspan33,TSPAN33,0.5098208,0.2068493150684926,0.29551476,False
MHb,Superior/Dorsal,Smo,SMO,0.009178866,0.004109589041095891,-0.006761126,False
MHb,Superior/Dorsal,Ahcyl2,AHCYL2,0.32508317,0.13972602739726,-0.20276675,False
MHb,Superior/Dorsal,Strip2,STRIP2,0.0037410045,0.0013698630136986301,-0.0074528838,False
MHb,Superior/Dorsal,Nrf1,NRF1,0.062319815,0.028767123287671243,-0.09164655,False
MHb,Superior/Dorsal,Ube2h,UBE2H,0.1907434,0.08356164383561639,-0.112848565,False
MHb,Superior/Dorsal,Zc3hc1,ZC3HC1,0.03911446,0.019178082191780823,0.0098333005,False
MHb,Superior/Dorsal,Klhdc10,KLHDC10,0.24376526,0.10958904109589025,-0.13295537,False
MHb,Superior/Dorsal,Tmem209,TMEM209,0.10208336,0.04520547945205482,0.056250803,False
MHb,Superior/Dorsal,Ssmem1,SSMEM1,0.0,0.0,-0.0010443325,False
MHb,Superior/Dorsal,Cpa2,CPA2,0.027078696,0.013698630136986299,0.0011253934,False
MHb,Superior/Dorsal,Cpa5,CPA5,0.0,0.0,-0.00043518833,False
MHb,Superior/Dorsal,Cep41,CEP41,0.07136313,0.034246575342465765,0.020394552,False
MHb,Superior/Dorsal,Mest,MEST,0.09735717,0.04520547945205482,0.034633555,False
MHb,Superior/Dorsal,Copg2,COPG2,0.1398365,0.061643835616438394,-0.14499639,False
MHb,Superior/Dorsal,Tsga13,TSGA13,0.0031258627,0.0013698630136986301,0.0017155029,False
MHb,Superior/Dorsal,Lncpint,LNCPINT,0.23492402,0.106849315068493,-0.41699094,False
MHb,Superior/Dorsal,Mkln1os,MKLN1OS,0.01314649,0.00821917808219178,-0.0073910058,False
MHb,Superior/Dorsal,Mkln1,MKLN1,0.26811188,0.11506849315068475,-0.099856615,False
MHb,Superior/Dorsal,Podxl,PODXL,0.026707992,0.01095890410958904,0.008640258,False
MHb,Superior/Dorsal,Gm43154,GM43154,0.0067285183,0.0027397260273972603,0.00056269625,False
MHb,Superior/Dorsal,Plxna4,PLXNA4,0.093115084,0.03972602739726029,-0.048195206,False
MHb,Superior/Dorsal,Plxna4os2,PLXNA4OS2,0.0,0.0,-0.000110769535,False
MHb,Superior/Dorsal,Plxna4os1,PLXNA4OS1,0.0,0.0,-0.00076113926,False
MHb,Superior/Dorsal,Chchd3,CHCHD3,0.15556085,0.07123287671232877,-0.19894451,False
MHb,Superior/Dorsal,Gm14540,GM14540,0.0025815924,0.0013698630136986301,0.0013574598,False
MHb,Superior/Dorsal,Exoc4,EXOC4,0.2544842,0.11095890410958888,-0.41336378,False
MHb,Superior/Dorsal,Lrguk,LRGUK,0.042662136,0.021917808219178086,0.004722405,False
MHb,Superior/Dorsal,Gm13856,GM13856,0.0038873188,0.0013698630136986301,0.0007432902,False
MHb,Superior/Dorsal,Slc35b4,SLC35B4,0.12485249,0.05479452054794524,0.08325667,False
MHb,Superior/Dorsal,Gm14546,GM14546,0.0,0.0,-0.00085310213,False
MHb,Superior/Dorsal,Akr1b3,AKR1B3,0.08360193,0.03698630136986303,-0.03263408,False
MHb,Superior/Dorsal,Akr1b8,AKR1B8,0.0,0.0,-0.00021625994,False
MHb,Superior/Dorsal,Akr1b10,AKR1B10,0.0032054305,0.0013698630136986301,-0.0073263496,False
