compartment,mouse_region,mouse_gene,gene_upper,mean_log_expr,pct_expr,mouse_logFC_vs_other_regions,excluded_gene
LHb,Lateral,Slc26a6,SLC26A6,0.007664174,0.004901961,-0.002832204,False
LHb,Lateral,Slc26a7,SLC26A7,0.0,0.0,-0.0002928248,False
LHb,Lateral,Slc26a8,SLC26A8,0.014808426,0.009803922,-0.00467317,False
LHb,Lateral,Slc26a9,SLC26A9,0.0,0.0,-7.10383e-05,False
LHb,Lateral,Slc27a1,SLC27A1,0.08947871,0.050980393,0.027579553,False
LHb,Lateral,Slc27a2,SLC27A2,0.032650147,0.025490196,-0.0053975023,False
LHb,Lateral,Slc27a3,SLC27A3,0.019755242,0.01372549,-0.00599394,False
LHb,Lateral,Slc27a4,SLC27A4,0.08159833,0.047058824,-0.007258728,False
LHb,Lateral,Slc27a5,SLC27A5,0.00922626,0.004901961,0.007275627,False
LHb,Lateral,Slc27a6,SLC27A6,0.0,0.0,-8.638842e-05,False
LHb,Lateral,Slc28a1,SLC28A1,0.0,0.0,-0.0010635273,False
LHb,Lateral,Slc28a2,SLC28A2,0.0018794029,0.0009803922,0.0014347176,False
LHb,Lateral,Slc28a3,SLC28A3,0.0,0.0,-0.0012817133,False
LHb,Lateral,Slc29a1,SLC29A1,0.02270513,0.011764706,-0.05623121,False
LHb,Lateral,Slc29a2,SLC29A2,0.017085854,0.010784314,-0.0058601312,False
LHb,Lateral,Slc29a3,SLC29A3,0.026646025,0.015686275,0.003807824,False
LHb,Lateral,Slc29a4,SLC29A4,0.026394257,0.01764706,0.0036911387,False
LHb,Lateral,Slc2a1,SLC2A1,0.06795902,0.03627451,0.02125365,False
LHb,Lateral,Slc2a10,SLC2A10,0.0010942293,0.0009803922,0.00053645927,False
LHb,Lateral,Slc2a12,SLC2A12,0.013857749,0.006862745,-0.0069146296,False
LHb,Lateral,Slc2a13,SLC2A13,1.3722326,0.53921884,0.63626957,False
LHb,Lateral,Slc2a2,SLC2A2,0.011792902,0.00882353,0.008463402,False
LHb,Lateral,Slc2a3,SLC2A3,0.097054996,0.05882353,-0.05255375,False
LHb,Lateral,Slc2a4,SLC2A4,0.0073090466,0.0029411768,0.0064451164,False
LHb,Lateral,Slc2a5,SLC2A5,0.0,0.0,-0.0035929265,False
LHb,Lateral,Slc2a6,SLC2A6,0.028333962,0.015686275,-0.0024705213,False
LHb,Lateral,Slc2a8,SLC2A8,0.05465227,0.032352943,0.026475884,False
LHb,Lateral,Slc2a9,SLC2A9,0.0037132064,0.0029411768,-0.0012740367,False
LHb,Lateral,Slc30a1,SLC30A1,0.02091008,0.012745098,-0.02150176,False
LHb,Lateral,Slc30a10,SLC30A10,0.011580251,0.005882353,-0.009908823,False
LHb,Lateral,Slc30a3,SLC30A3,0.0058124256,0.0029411768,-0.04219932,False
LHb,Lateral,Slc30a4,SLC30A4,0.0664127,0.038235296,0.0046095364,False
LHb,Lateral,Slc30a5,SLC30A5,0.07437056,0.04411765,-0.014824294,False
