compartment,mouse_region,best_overlap_human_cluster,overlap_best_fraction,overlap_significant_fraction,overlap_min_fdr,overlap_max_genes,best_module_human_cluster,module_best_fraction,module_mean_score_across_depths,best_positive_rankcorr_human_cluster,positive_rankcorr_spearman_r,positive_rankcorr_fdr,n_ranked_genes
LHb,Hbx,LHb.2,0.375,1.0,7.586569847294289e-27,45,LHb.6,0.4,0.1764642149209976,LHb.6,0.1748237914261897,1.7167947117522887e-97,14270
LHb,Lateral,LHb.7,1.0,1.0,5.985201317074717e-59,75,LHb.7,1.0,0.3165075063705444,LHb.7,0.1560387192432937,1.0401721395502696e-77,14270
LHb,Marginal,LHb.3,0.25,0.25,0.0020785940130499,12,LHb.6,0.2,-0.0155555823817849,LHb.6,0.0854206459948781,3.5159133810518384e-24,14270
LHb,Oval/Medial,LHb.4,0.6875,1.0,6.598889647222472e-54,71,LHb.4,1.0,0.0502277597784996,LHb.1,0.2242703757932774,5.118273647064326e-161,14270
MHb,Dorsal,MHb.2,1.0,1.0,1.324467731722619e-44,66,MHb.2,1.0,0.2971745371818542,MHb.3,0.0163538632618265,0.0593814836165367,13545
MHb,Lateral,MHb.1,0.0,1.0,4.416522281350064e-12,31,MHb.1,0.2,0.1539816826581955,MHb.3,0.036729446541236,2.2679911629868847e-05,13545
MHb,Superior/Dorsal,MHb.2,0.625,0.875,7.496998959434727e-08,23,MHb.1,1.0,0.032784180343151,MHb.2,0.1350528878347315,1.0930711596371608e-55,13545
MHb,Ventral,MHb.1,0.0625,0.375,0.0040272592326011,6,MHb.3,1.0,-0.0280032835900783,MHb.2,0.2525740790027798,9.414105249461153e-195,13545
MHb,Ventral/Dorsal,MHb.1,0.5,0.375,2.33817862895744e-05,18,MHb.1,0.4,0.0539170958101749,MHb.1,0.3026498676459152,3.445410475905367e-283,13545
