label,human_gene,mouse_gene,enriched_region,direction,region,mean_log1p_norm_expr,pct_expr,expr_z_by_gene
WLS / Wls,WLS,Wls,MHb,down_in_suicide,MHb,0.5546737416144566,27.118406285072837,0.7071067811865476
POU3F1 / Pou3f1,POU3F1,Pou3f1,MHb,up_in_suicide,LHb,0.04459115179112644,2.0445017736214077,-0.7071067811865475
POU3F1 / Pou3f1,POU3F1,Pou3f1,MHb,up_in_suicide,MHb,0.1394747296239933,8.508698092031612,0.7071067811865475
CETN2 / Cetn2,CETN2,Cetn2,MHb,down_in_suicide,LHb,0.10735168694232411,5.1209287326668695,-0.7071067811865472
CETN2 / Cetn2,CETN2,Cetn2,MHb,down_in_suicide,MHb,0.1982804770252237,11.31453423120135,0.7071067811865477
UBC / Ubc,UBC,Ubc,MHb,down_in_suicide,LHb,0.395473440870785,16.88487584650109,-0.7071067811865475
UBC / Ubc,UBC,Ubc,MHb,down_in_suicide,MHb,0.4758814152059168,22.27132435465724,0.7071067811865475
STAMBPL1 / Stambpl1,STAMBPL1,Stambpl1,MHb,down_in_suicide,LHb,0.09091175051430432,4.701709126088347,-0.7071067811865479
STAMBPL1 / Stambpl1,STAMBPL1,Stambpl1,MHb,down_in_suicide,MHb,0.13314058935558232,9.041806958473861,0.7071067811865475
PPP1R11 / Ppp1r11,PPP1R11,Ppp1r11,MHb,down_in_suicide,LHb,0.13290294250741738,6.397936149629137,-0.7071067811865479
PPP1R11 / Ppp1r11,PPP1R11,Ppp1r11,MHb,down_in_suicide,MHb,0.20478318536098072,11.679292929293416,0.7071067811865474
CDR1 / Cdr1,CDR1,Cdr1,MHb,up_in_suicide,LHb,0.021249885967671953,1.0512737826507559,-0.7071067811865476
CDR1 / Cdr1,CDR1,Cdr1,MHb,up_in_suicide,MHb,0.04098410467039687,2.7146464646464548,0.7071067811865476
KCNG4 / Kcng4,KCNG4,Kcng4,MHb,up_in_suicide,LHb,0.059599086517231226,2.5604643663334348,-0.7071067811865476
KCNG4 / Kcng4,KCNG4,Kcng4,MHb,up_in_suicide,MHb,0.1380043618662923,7.533670033670129,0.7071067811865476
SIK1 / Sik1,SIK1,Sik1,MHb,up_in_suicide,LHb,0.06296191702208231,3.2763624637213726,-0.707106781186547
SIK1 / Sik1,SIK1,Sik1,MHb,up_in_suicide,MHb,0.0901196182939314,6.186868686868661,0.7071067811865478
