mouse_gene,scores,logFC_vs_other_region,pvals,pvals_adj,pct_nz_group,pct_nz_reference,region,mouse_gene_upper,is_region_marker
Psph,3.4465094,0.7669194,0.0005678787603110146,0.00207909437483718,0.04061447811447812,0.01728474685585295,MHb,PSPH,True
Yif1a,3.440791,0.65257674,0.0005800163477501915,0.0021220910257542065,0.03984287317620651,0.016510802966784907,MHb,YIF1A,True
Txnrd1,3.4402277,0.2538642,0.0005812247355358029,0.0021255505533103354,0.0712682379349046,0.0472750725572396,MHb,TXNRD1,True
Hip1r,3.43955,0.44684425,0.0005826825465500532,0.0021299186871066916,0.056046576879910215,0.032441148016768784,MHb,HIP1R,True
Dnaic2,3.4304638,2.3238964,0.0006025506088858926,0.002198568937227456,0.02644500561167228,0.003418252176717188,MHb,DNAIC2,True
Scrt1,3.4262755,0.26853886,0.0006119193799920165,0.002231746554987794,0.061237373737373736,0.03747178329571106,MHb,SCRT1,True
Ap1m1,3.4248338,0.2514585,0.0006151757616133534,0.0022422679555891907,0.0683922558922559,0.04450177362141245,MHb,AP1M1,True
Sox2,3.4225755,0.46196303,0.0006203085780790475,0.002260304404241629,0.0470679012345679,0.0236052886165753,MHb,SOX2,True
Hax1,3.4179814,0.37879056,0.0006308739494891381,0.0022951835656740464,0.04685746352413019,0.02347629796839729,MHb,HAX1,True
Slitrk2,3.4172347,0.47525,0.0006326073568008441,0.0023009723400615363,0.0484006734006734,0.025024185746533378,MHb,SLITRK2,True
Igbp1,3.415786,0.41218036,0.0006359817996867779,0.002312206250827969,0.051066217732884396,0.027668494034182523,MHb,IGBP1,True
Ell2,3.408569,0.28988388,0.0006530451728947391,0.0023715773847266287,0.0667087542087542,0.04295388584327636,MHb,ELL2,True
Rcan1,3.4055452,0.31725526,0.0006603207446605735,0.0023974608406026436,0.06137766554433221,0.03779425991615608,MHb,RCAN1,True
Bicd2,3.402765,0.2985139,0.0006670762202081802,0.002418730746887988,0.06628787878787878,0.042631409222831346,MHb,BICD2,True
Ddx54,3.3951275,0.61843807,0.0006859666702261107,0.002482370272122057,0.04110549943883277,0.01805869074492099,MHb,DDX54,True
Iah1,3.3933628,0.62957144,0.0006904011556631061,0.0024977049190003896,0.041666666666666664,0.018639148661722026,MHb,IAH1,True
Gchfr,3.3907845,1.2062205,0.0006969285565387406,0.0025196288337090145,0.03437149270482604,0.011544663011931635,MHb,GCHFR,True
Tubb2b,3.3906164,0.29504657,0.0006973562425116629,0.0025206116698605913,0.06081649831649832,0.037342792647533055,MHb,TUBB2B,True
Arfip2,3.389732,0.4852758,0.0006996103373598996,0.002527940803377504,0.051066217732884396,0.027926475330538537,MHb,ARFIP2,True
