mouse_gene,scores,logFC_vs_other_region,pvals,pvals_adj,pct_nz_group,pct_nz_reference,region,mouse_gene_upper,is_region_marker
Bsdc1,-2.4208913,-0.18281196,0.01548250839287979,0.04274557450182934,0.039148661722025156,0.05597643097643098,LHb,BSDC1,False
Cox11,-2.4209967,-0.16255863,0.015478022321757847,0.04274492249520798,0.025927120283779425,0.042578563411896746,LHb,COX11,False
Gmppa,-2.4220088,-0.26467797,0.015434974054232359,0.04264059868953175,0.02747500806191551,0.044121773288439955,LHb,GMPPA,False
C87436,-2.4236073,-0.18409877,0.015367213132685263,0.042460654667096705,0.025346662366978395,0.042017396184062854,LHb,C87436,False
Lsm10,-2.4242368,-0.99627984,0.015340604384912958,0.042394374837855305,0.008448887455659465,0.024761503928170593,LHb,LSM10,False
Eif5a2,-2.4243596,-0.3060324,0.015335412992159217,0.04238727018936694,0.022379877458884232,0.038930976430976434,LHb,EIF5A2,False
Zfp281,-2.424989,-0.38750905,0.01530885272794877,0.04232108919408158,0.024637213801999354,0.04117564534231201,LHb,ZFP281,False
Rab33a,-2.4250424,-0.3390183,0.015306603238050628,0.04232108919408158,0.01599484037407288,0.03247755331088664,LHb,RAB33A,False
Trmt10c,-2.4262376,-0.5262948,0.015256279515846903,0.04219017287892352,0.014575943244114802,0.031004489337822672,LHb,TRMT10C,False
Epb41l4aos,-2.4264219,-0.14170109,0.01524853070197264,0.04217595487421468,0.035407932924862946,0.05225869809203142,LHb,EPB41L4AOS,False
Nubp2,-2.42648,-0.68688613,0.015246090401536943,0.04217595487421468,0.00999677523379555,0.026374859708193043,LHb,NUBP2,False
Zgpat,-2.427058,-0.21240667,0.015221819637768183,0.042116478385374675,0.023540793292486296,0.04019360269360269,LHb,ZGPAT,False
Armcx2,-2.4274294,-0.245131,0.015206243062988229,0.04208777918272324,0.02928087713640761,0.04594556677890011,LHb,ARMCX2,False
Tmem251,-2.4281197,-0.6192629,0.015177336222886067,0.04201496036371421,0.013544018058690745,0.029952300785634118,LHb,TMEM251,False
Nqo2,-2.4290974,-0.70899564,0.015136463003857101,0.04190898478044995,0.012705578845533699,0.029110549943883277,LHb,NQO2,False
Rabl3,-2.4291291,-0.8257497,0.01513513794372713,0.04190898478044995,0.010899709771041599,0.02728675645342312,LHb,RABL3,False
