mouse_gene,avg_expr_LHb,avg_expr_MHb,pct_expr_LHb,pct_expr_MHb,mouse_gene_upper
A130010J15Rik,0.007936511498515255,0.008019423572685038,0.004450177362141239,0.006032547699214361,A130010J15RIK
A130051J06Rik,0.0004398762467016105,0.0011374572451485852,0.00019348597226701063,0.001192480359147026,A130051J06RIK
A1bg,0.0,0.0005155385053008023,0.0,0.00021043771043771046,A1BG
A230001M10Rik,0.02769038033737778,0.026804917533687866,0.011996130280554636,0.012205387205387172,A230001M10RIK
A230009B12Rik,0.015912018419883003,0.032270782674815576,0.007997420187036426,0.02146464646464639,A230009B12RIK
A230020J21Rik,0.001025240527733695,0.0011798178103159893,0.0007739438890680427,0.0008417508417508418,A230020J21RIK
A230028O05Rik,0.000321096332806215,0.0002671726724057656,0.0001289906481780071,0.00021043771043771046,A230028O05RIK
A230072E10Rik,0.04541818459298499,0.0448849325320109,0.023476297968397238,0.029531425364758588,A230072E10RIK
A230077H06Rik,0.030549462236137373,0.05438361633459224,0.015994840374072845,0.0341610549943882,A230077H06RIK
A230083G16Rik,0.014313393804768799,0.011293528952639444,0.007803934214769415,0.008347362514029165,A230083G16RIK
A230087F16Rik,0.023217076902636975,0.01929604796131315,0.012125120928732643,0.012906846240179537,A230087F16RIK
A230107N01Rik,0.006974918002627311,0.010378376853603336,0.0038052241212512055,0.007014590347923672,A230107N01RIK
A230108P19Rik,0.0013768971641737327,0.00045503136255849375,0.0007739438890680427,0.0002805836139169473,A230108P19RIK
A2m,0.014062165342659385,0.013548652387397758,0.006127055788455327,0.006313131313131307,A2M
A330008L17Rik,0.4521908453733367,0.6825235030865672,0.1771041599484033,0.2875982042648746,A330008L17RIK
A330009N23Rik,0.0013855177487400753,0.0011920579394699262,0.0007739438890680427,0.0008417508417508418,A330009N23RIK
A330015K06Rik,0.04011164604955685,0.015010523040006966,0.01973556917123504,0.007225028058361381,A330015K06RIK
A330032B11Rik,0.03169770482666909,0.023647152637835032,0.01683327958722989,0.018378226711559986,A330032B11RIK
A330033J07Rik,0.013787800780013952,0.005022171701677745,0.007287971622057388,0.003226711560044897,A330033J07RIK
A330035P11Rik,0.0007664051341559805,0.0013323553656160037,0.0004514672686230248,0.0010521885521885522,A330035P11RIK
A330041J22Rik,0.01607591165932176,0.014932473386974423,0.008706868752015463,0.012205387205387172,A330041J22RIK
A330048O09Rik,0.0018648193700266768,0.004614204503630105,0.0010319251854240571,0.0023849607182940538,A330048O09RIK
A330069K06Rik,0.0006614555749505774,0.00023166927456157616,0.00038697194453402126,0.0002805836139169473,A330069K06RIK
A330074K22Rik,0.020101485618126625,0.01268773612491215,0.010835214446952575,0.010030864197530841,A330074K22RIK
A330093E20Rik,0.0070123777542794915,0.008482315106387358,0.0038052241212512055,0.0052609427609427595,A330093E20RIK
A330102I10Rik,0.17830359077042446,0.376105637297479,0.08481135117703946,0.2023007856341166,A330102I10RIK
A3galt2,0.003581297417507697,0.006356728447201819,0.0021283456949371176,0.004840067340067341,A3GALT2
A430005L14Rik,0.03624775154270381,0.0430215100832182,0.01915511125443401,0.0349326599326598,A430005L14RIK
A430027H14Rik,0.0032267406852165654,0.0010646294191957245,0.0017413737504030967,0.0006313131313131314,A430027H14RIK
A430033K04Rik,0.04678435854223055,0.05190495705089147,0.025346662366978336,0.037037037037036896,A430033K04RIK
A430057M04Rik,0.0006421562885691622,0.00047650961438970455,0.0003224766204450177,0.0003507295173961841,A430057M04RIK
A430073D23Rik,0.007100805523058446,0.010603058086318472,0.0038052241212512055,0.007716049382716037,A430073D23RIK
A430078I02Rik,0.0013670364381583448,0.0011009550520655797,0.0009674298613350535,0.0009820426487093155,A430078I02RIK
A430105J06Rik,0.004125271464674423,0.005931116090459308,0.0027732989358271514,0.0054012345679012325,A430105J06RIK
A4galt,0.0028301382410648914,0.0024369380837764997,0.0012899064817800715,0.0010521885521885522,A4GALT
A530006G24Rik,9.736113965018221e-05,0.0012504109969978558,6.449532408900354e-05,0.0007014590347923682,A530006G24RIK
A530013C23Rik,0.0061874372310983285,0.005805410650160418,0.003031280232183165,0.003928170594837266,A530013C23RIK
A530016L24Rik,0.0016213063745333942,0.001325492984246617,0.0010319251854240571,0.0010521885521885522,A530016L24RIK
A530076I17Rik,0.003236557447918602,0.01115499591780589,0.001547887778136086,0.008277216610549929,A530076I17RIK
A530084C06Rik,0.0005390894020464564,0.0003730273213148089,0.00019348597226701063,0.00014029180695847364,A530084C06RIK
A630001G21Rik,0.000849142504261745,0.0009912634224437465,0.0004514672686230248,0.0006313131313131314,A630001G21RIK
A630012P03Rik,0.0028752681826364744,0.0008886062456837387,0.0018058690744921003,0.0004208754208754209,A630012P03RIK
A630014C17Rik,0.0016010544353288916,0.008937467758269759,0.0008384392131570463,0.006663860830527489,A630014C17RIK
A630095N17Rik,0.0004832398713590482,0.00042985615752485866,0.0002579812963560142,0.0003507295173961841,A630095N17RIK
A730011C13Rik,0.00483809848344788,0.0072119950946541575,0.002837794259916155,0.004699775533108868,A730011C13RIK
A730020M07Rik,0.0010333849882933751,0.005443703229159626,0.0004514672686230248,0.004910213243546577,A730020M07RIK
A730035I17Rik,0.0003868947101525115,0.0005154840272722345,0.00019348597226701063,0.00021043771043771046,A730035I17RIK
A730036I17Rik,0.001008585048635878,0.0023751010495892066,0.0005804579168010319,0.0017536475869809214,A730036I17RIK
A730045E13Rik,0.0025608728913241612,0.002002699892919742,0.0014833924540470823,0.001192480359147026,A730045E13RIK
A730049H05Rik,0.0010610665111261005,0.001004138147876538,0.0006449532408900355,0.0005611672278338945,A730049H05RIK
A730056A06Rik,0.030508253272482255,0.09681504392698605,0.015801354401805835,0.06558641975308645,A730056A06RIK
A730060N03Rik,0.01961203466587437,0.0010918660427852145,0.010125765881973538,0.0006313131313131314,A730060N03RIK
A730061H03Rik,0.00028785589127687007,0.0007032379299877307,0.0001289906481780071,0.0003507295173961841,A730061H03RIK
A730071L15Rik,0.0013110596034355921,0.0028203437971186397,0.0007094485649790391,0.0025953984287317646,A730071L15RIK
A730081D07Rik,0.03649971949611492,0.040245094402136534,0.019090615930345008,0.026445005611672182,A730081D07RIK
A730085K08Rik,0.0017149672798421193,0.001796671671549553,0.0008384392131570463,0.001192480359147026,A730085K08RIK
A730090N16Rik,0.0030539998850374907,0.0019680330430648227,0.001547887778136086,0.0010521885521885522,A730090N16RIK
A730098A19Rik,0.006186423200007932,0.004808848472224981,0.003934214769429212,0.004769921436588104,A730098A19RIK
A830005F24Rik,0.003109727474704333,0.0052226852059802775,0.001999355046759111,0.005471380471380469,A830005F24RIK
A830008E24Rik,0.001971980934960929,0.001783977756675351,0.0009674298613350535,0.0008417508417508418,A830008E24RIK
A830009L08Rik,0.0014879340119781997,0.0014090932051944623,0.0006449532408900355,0.0008417508417508418,A830009L08RIK
A830011K09Rik,0.005407501053718759,0.020262475764083725,0.002837794259916155,0.019430415263748533,A830011K09RIK
A830018L16Rik,0.24597178769530698,0.05589606861264763,0.10693324733956762,0.03177609427609416,A830018L16RIK
A830019P07Rik,0.04708614739233841,0.02695713913648791,0.022637858755240194,0.015502244668911288,A830019P07RIK
A830031A19Rik,0.007633508589293166,0.0048210746037552965,0.003934214769429212,0.0051206509539842866,A830031A19RIK
A830036E02Rik,0.018894862166506265,0.0012094234607977128,0.009093840696549484,0.0007014590347923682,A830036E02RIK
A830052D11Rik,0.008506549849537375,0.006358893167879913,0.004063205417607219,0.005331088664421996,A830052D11RIK
