region,n_region_markers,n_kim_mapped_deg_genes,n_overlap,odds_ratio,p_value,overlap_mouse_genes,p_adj,neg_log10_fdr
LHb,744,148,4,0.5738363363363364,0.9137457364434869,CHGA;CHST9;KCNA6;WSCD2,0.9655359362104663,0.015231557609634199
MHb,3660,148,25,0.6929021147157827,0.9655359362104663,CDR1;CETN2;DNAJB1;ESAM;GOLPH3L;HSPA1A;HSPA1B;KCNG4;KREMEN1;LIN7C;MED27;MRPL40;NUDT4;PAICS;PNO1;POU3F1;PPP1R11;RGS2;RPL12;SIK1;STAMBPL1;UBC;UIMC1;WLS;YOD1,0.9655359362104663,0.015231557609634199
