probe_set_id,human_gene,gene_accession,control_mean,suicide_mean,ratio_s_to_c,p_value,log2_ratio_s_to_c,direction,human_gene_original,human_gene_upper,mouse_gene,mouse_gene_upper
16977868,ABCG2,NM_004827 ,262.4444722198306,392.6701358611816,1.4962027301998977,0.024425198234788534,0.5813056685666435,up_in_suicide,ABCG2,ABCG2,Abcg2,ABCG2
16709268,ACSL5,NM_016234 ,92.81783790101304,126.383774038343,1.361632385502524,0.04962647451929085,0.4453372560673692,up_in_suicide,ACSL5,ACSL5,Acsl5,ACSL5
16812215,ADAMTS7,NM_014272 ,64.62276624857326,79.94229253936244,1.237060825156605,0.01658524322229029,0.30691643806239366,up_in_suicide,ADAMTS7,ADAMTS7,Adamts7,ADAMTS7
16791319,ADCY4,NM_001198568 ,81.55226713461332,99.43870174689167,1.219324799183747,0.015707874884787004,0.2860824768654405,up_in_suicide,ADCY4,ADCY4,Adcy4,ADCY4
16968213,ANXA3,NM_005139 ,105.54641006664664,151.75572170347928,1.437810358567895,0.0229937638159186,0.5238734026229143,up_in_suicide,ANXA3,ANXA3,Anxa3,ANXA3
17000928,ARAP3,NM_022481 ,67.929140385149,85.51870181949167,1.2589398501822966,4.914287507169378e-07,0.3322093554026638,up_in_suicide,ARAP3,ARAP3,Arap3,ARAP3
16845929,ARHGAP27,ENST00000528273 ,129.62681988271865,156.76338818030885,1.2093437787191132,0.04813069754457007,0.2742244160944401,up_in_suicide,ARHGAP27,ARHGAP27,Arhgap27,ARHGAP27
16730429,ARHGAP42,NM_152432 ,242.1422748412811,189.03831483108837,0.7806910831865222,0.049714305065616554,-0.35717630313831805,down_in_suicide,ARHGAP42,ARHGAP42,Arhgap42,ARHGAP42
16967071,ARL9,NM_206919 ,30.612199644017423,23.233086318045387,0.7589486083397425,0.0378870336659816,-0.39792589699838976,down_in_suicide,ARL9,ARL9,Arl9,ARL9
17095887,ASPN,NM_017680 ,31.96228329046864,39.63151429041494,1.2399462807537691,0.033501428974304415,0.31027761886301897,up_in_suicide,ASPN,ASPN,Aspn,ASPN
16806145,ATP10A,ENST00000356865 ,174.07062778621977,226.855120209077,1.3032360662689348,0.02429278356335857,0.3820984352401439,up_in_suicide,ATP10A,ATP10A,Atp10a,ATP10A
16855510,ATP8B1,NM_005603 ,76.58870281708418,94.71018646600164,1.2366077891695957,0.016911211787105133,0.3063879980156348,up_in_suicide,ATP8B1,ATP8B1,Atp8b1,ATP8B1
16830284,BCL6B,ENST00000293805 ,73.89725606505124,95.67607733860861,1.2947175907909978,0.007488306414469006,0.37263744555869793,up_in_suicide,BCL6B,BCL6B,Bcl6b,BCL6B
16728261,CCND1,ENST00000227507 ,297.172338913571,357.31364935060503,1.2023785613994356,0.029419284256384928,0.26589119111470794,up_in_suicide,CCND1,CCND1,Ccnd1,CCND1
16698801,CD34,NM_001773 ,213.7399008255914,294.7183468155332,1.3788644313820424,0.04413582456199587,0.4634806194426577,up_in_suicide,CD34,CD34,Cd34,CD34
16965268,CD38,NM_001775 ,321.4430979583692,211.32758067062855,0.6574338724734355,0.026331114202692643,-0.6050823056572426,down_in_suicide,CD38,CD38,Cd38,CD38
16994779,CDH10,NM_006727 ,344.35458526947997,286.56912444868874,0.8321919809037235,0.013723194039821352,-0.26501170841068783,down_in_suicide,CDH10,CDH10,Cdh10,CDH10
16819794,CDH5,NM_001795 ,124.84792403802275,186.44394153962597,1.4933683757756675,0.0034554338687655486,0.5785700853326735,up_in_suicide,CDH5,CDH5,Cdh5,CDH5
17114701,CDR1,NM_004065 ,322.03026638867976,439.9391734033058,1.3661423143137543,0.04432879221080776,0.4501077804509844,up_in_suicide,CDR1,CDR1,Cdr1,CDR1
16877762,CENPO,ENST00000380834 ,137.24185652891114,112.4455637640644,0.8193241231794092,0.003357585212642589,-0.28749380248585626,down_in_suicide,CENPO,CENPO,Cenpo,CENPO
17115077,CETN2,ENST00000370277 ,595.3950131216075,456.62861188668865,0.7669338872904261,0.0391114997370247,-0.3828258777709001,down_in_suicide,CETN2,CETN2,Cetn2,CETN2
16675398,CFH,NM_000186 ,73.5653832576348,91.41611714695925,1.2426512729065655,0.048182142756527976,0.31342148751225296,up_in_suicide,CFH,CFH,Cfh,CFH
16716371,CH25H,NM_003956 ,127.60346366921632,83.34796936154763,0.6531795216594491,0.02150703734461231,-0.6144485343360123,down_in_suicide,CH25H,CH25H,Ch25h,CH25H
16787650,CHGA,ENST00000216492 ,183.2763747453841,236.5755695205556,1.2908132313792064,0.029271711809708716,0.3682802712450001,up_in_suicide,CHGA,CHGA,Chga,CHGA
16854425,CHST9,NM_031422 ,139.98416922144844,103.51779579778469,0.7394964471591379,0.04018399185044979,-0.4353848788384835,down_in_suicide,CHST9,CHST9,Chst9,CHST9
16938647,CMTM8,NM_178868 ,88.8466594493547,107.77837180698494,1.2130829957475429,0.03724254067735586,0.2786782589969617,up_in_suicide,CMTM8,CMTM8,Cmtm8,CMTM8
16904447,COBLL1,NM_014900 ,105.76835945472368,136.2181332475914,1.2878911420187278,0.02844059008236017,0.3650106559472726,up_in_suicide,COBLL1,COBLL1,Cobll1,COBLL1
17056391,CRHR2,NM_001202481 ,107.91040403854169,140.48068512916282,1.3018270701589465,0.033209566046786376,0.3805378190152959,up_in_suicide,CRHR2,CRHR2,Crhr2,CRHR2
16980770,DCHS2,NM_017639 ,117.9629922964742,84.16859476545497,0.7135169524516265,0.023709127986931235,-0.486980387782889,down_in_suicide,DCHS2,DCHS2,Dchs2,DCHS2
