"bulk_gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol","ensemblID","gene_type","Class","MGI_Symbol"
"ENSG00000182827.8",0.0484624668143116,5.4310073141781,1.19822832279183,0.236755623480681,0.736716938045449,-5.03589300419268,"ACBD3","ENSG00000182827","protein_coding","InGen","ACBD3"
"ENSG00000263400.6",-0.147612256473403,1.37582779027113,-1.19813802898167,0.236790435634993,0.736724521918227,-5.03598749219002,"TMEM220-AS1","ENSG00000263400","antisense","InGen","TMEM220-AS1"
"ENSG00000163395.16",-0.268009016668955,2.89265937546284,-1.19764623445703,0.236980109152844,0.737192444836918,-5.03650201395824,"IGFN1","ENSG00000163395","protein_coding","InGen","IGFN1"
"ENSG00000214820.3",-0.39634890040067,-1.75002236355131,-1.19746015980243,0.237051902627047,0.737192444836918,-5.03669663618071,"MPRIPP1","ENSG00000214820","processed_pseudogene","InGen","MPRIPP1"
"ENSG00000072133.10",0.11607776776146,4.16148541355008,1.19741261990426,0.237070247563243,0.737192444836918,-5.03674635534967,"RPS6KA6","ENSG00000072133","protein_coding","InGen","RPS6KA6"
"ENSG00000051108.14",0.113516319004741,5.80736866379815,1.19725575293897,0.237130787523477,0.737192444836918,-5.03691040014754,"HERPUD1","ENSG00000051108","protein_coding","InGen","HERPUD1"
"ENSG00000165630.13",-0.0684764476653509,3.38540387083014,-1.19723612370052,0.237138363865441,0.737192444836918,-5.03693092615588,"PRPF18","ENSG00000165630","protein_coding","InGen","PRPF18"
"ENSG00000051009.10",-0.0541406009659893,4.5406112862992,-1.19723488423884,0.237138842269216,0.737192444836918,-5.0369322222323,"FAM160A2","ENSG00000051009","protein_coding","InGen","FAM160A2"
"ENSG00000275993.2",0.458700839982801,0.5278593495416,1.1971603831957,0.237167599255189,0.737192444836918,-5.03701012394867,"CH507-42P11.8","ENSG00000275993","protein_coding","InGen","CH507-42P11.8"
"ENSG00000156475.18",-0.0559872492470011,7.42265033529393,-1.19700067393892,0.237229254701739,0.737232111907675,-5.03717710802344,"PPP2R2B","ENSG00000156475","protein_coding","InGen","PPP2R2B"
"ENSG00000232953.1",-0.376705269303325,-1.0254892626225,-1.19695949054436,0.237245155365614,0.737232111907675,-5.03722016396044,"HSPA8P18","ENSG00000232953","processed_pseudogene","InGen","HSPA8P18"
"ENSG00000157483.8",0.0977471631402917,5.5350383384614,1.1967468085204,0.237327282997647,0.737386626419232,-5.03744249425359,"MYO1E","ENSG00000157483","protein_coding","InGen","MYO1E"
"ENSG00000237515.7",0.135112271141358,5.75413227321902,1.19665566117133,0.237362486090491,0.73739532197614,-5.03753776517622,"SHISA9","ENSG00000237515","protein_coding","InGen","SHISA9"
"ENSG00000277534.1",0.11521443351734,2.07046968668253,1.1959325176173,0.237641914788795,0.738161547610292,-5.03829338390272,"RP11-9E17.1","ENSG00000277534","sense_intronic","InGen","RP11-9E17.1"
