mouse_gene,human_gene_upper,human_gene,in_bulk,in_sce
Acp2,ACP2,ACP2,True,True
Acp4,ACP4,ACP4,False,True
Acp5,ACP5,ACP5,True,True
Acp6,ACP6,ACP6,True,True
Acpp,ACPP,ACPP,True,True
Acr,ACR,ACR,False,True
Acrbp,ACRBP,ACRBP,True,True
Acsbg1,ACSBG1,ACSBG1,True,True
Acsbg2,ACSBG2,ACSBG2,False,True
Acsf2,ACSF2,ACSF2,True,True
Acsf3,ACSF3,ACSF3,True,True
Acsl1,ACSL1,ACSL1,True,True
Acsl3,ACSL3,ACSL3,True,True
Acsl4,ACSL4,ACSL4,True,True
Acsl5,ACSL5,ACSL5,True,True
Acsl6,ACSL6,ACSL6,True,True
Acsm3,ACSM3,ACSM3,False,True
Acsm5,ACSM5,ACSM5,True,True
Acss1,ACSS1,ACSS1,True,True
Acss2,ACSS2,ACSS2,True,True
Acss3,ACSS3,ACSS3,True,True
Acta1,ACTA1,ACTA1,True,True
Acta2,ACTA2,ACTA2,True,True
Actb,ACTB,ACTB,True,True
Actg1,ACTG1,ACTG1,True,True
Actg2,ACTG2,ACTG2,True,True
Actl10,ACTL10,ACTL10,False,True
Actl6a,ACTL6A,ACTL6A,True,True
Actl6b,ACTL6B,ACTL6B,True,True
Actn1,ACTN1,ACTN1,True,True
Actn2,ACTN2,ACTN2,True,True
Actn3,ACTN3,ACTN3,False,True
Actn4,ACTN4,ACTN4,True,True
Actr10,ACTR10,ACTR10,True,True
Actr1a,ACTR1A,ACTR1A,True,True
Actr1b,ACTR1B,ACTR1B,True,True
Actr2,ACTR2,ACTR2,True,True
Actr3,ACTR3,ACTR3,True,True
Actr3b,ACTR3B,ACTR3B,True,True
Actr5,ACTR5,ACTR5,True,True
Actr6,ACTR6,ACTR6,True,True
Actr8,ACTR8,ACTR8,True,True
Actrt3,ACTRT3,ACTRT3,True,True
Acvr1,ACVR1,ACVR1,True,True
Acvr1b,ACVR1B,ACVR1B,True,True
Acvr1c,ACVR1C,ACVR1C,True,True
Acvr2a,ACVR2A,ACVR2A,True,True
Acvr2b,ACVR2B,ACVR2B,True,True
Acvrl1,ACVRL1,ACVRL1,True,True
Acy1,ACY1,ACY1,True,True
Acy3,ACY3,ACY3,True,True
Acyp1,ACYP1,ACYP1,True,True
Acyp2,ACYP2,ACYP2,True,True
Ada,ADA,ADA,True,True
Adal,ADAL,ADAL,True,True
Adam10,ADAM10,ADAM10,True,True
Adam11,ADAM11,ADAM11,True,True
Adam12,ADAM12,ADAM12,True,True
Adam15,ADAM15,ADAM15,True,True
Adam17,ADAM17,ADAM17,True,True
Adam18,ADAM18,ADAM18,False,True
Adam19,ADAM19,ADAM19,True,True
Adam2,ADAM2,ADAM2,True,True
Adam21,ADAM21,ADAM21,True,True
Adam22,ADAM22,ADAM22,True,True
Adam23,ADAM23,ADAM23,True,True
Adam28,ADAM28,ADAM28,True,True
Adam32,ADAM32,ADAM32,True,True
Adam33,ADAM33,ADAM33,True,True
Adam7,ADAM7,ADAM7,False,True
Adam8,ADAM8,ADAM8,True,True
Adam9,ADAM9,ADAM9,True,True
Adamts1,ADAMTS1,ADAMTS1,True,True
Adamts10,ADAMTS10,ADAMTS10,True,True
Adamts12,ADAMTS12,ADAMTS12,True,True
Adamts14,ADAMTS14,ADAMTS14,True,True
Adamts15,ADAMTS15,ADAMTS15,True,True
Adamts16,ADAMTS16,ADAMTS16,True,True
Adamts17,ADAMTS17,ADAMTS17,True,True
Adamts18,ADAMTS18,ADAMTS18,True,True
Adamts19,ADAMTS19,ADAMTS19,True,True
Adamts2,ADAMTS2,ADAMTS2,True,True
Adamts20,ADAMTS20,ADAMTS20,True,True
Adamts3,ADAMTS3,ADAMTS3,True,True
Adamts4,ADAMTS4,ADAMTS4,True,True
Adamts5,ADAMTS5,ADAMTS5,True,True
Adamts6,ADAMTS6,ADAMTS6,True,True
Adamts7,ADAMTS7,ADAMTS7,True,True
Adamts8,ADAMTS8,ADAMTS8,True,True
Adamts9,ADAMTS9,ADAMTS9,True,True
Adamtsl1,ADAMTSL1,ADAMTSL1,True,True
Adamtsl2,ADAMTSL2,ADAMTSL2,True,True
Adamtsl3,ADAMTSL3,ADAMTSL3,True,True
Adamtsl4,ADAMTSL4,ADAMTSL4,True,True
Adamtsl5,ADAMTSL5,ADAMTSL5,True,True
Adap1,ADAP1,ADAP1,True,True
Adap2,ADAP2,ADAP2,True,True
Adar,ADAR,ADAR,True,True
Adarb1,ADARB1,ADARB1,True,True
Adarb2,ADARB2,ADARB2,True,True
Adat1,ADAT1,ADAT1,True,True
Adat2,ADAT2,ADAT2,True,True
Adck1,ADCK1,ADCK1,True,True
Adck2,ADCK2,ADCK2,True,True
Adck5,ADCK5,ADCK5,True,True
Adcy1,ADCY1,ADCY1,True,True
Adcy10,ADCY10,ADCY10,True,True
Adcy2,ADCY2,ADCY2,True,True
Adcy3,ADCY3,ADCY3,True,True
Adcy4,ADCY4,ADCY4,True,True
Adcy5,ADCY5,ADCY5,True,True
Adcy6,ADCY6,ADCY6,True,True
Adcy7,ADCY7,ADCY7,True,True
Adcy8,ADCY8,ADCY8,True,True
Adcy9,ADCY9,ADCY9,True,True
Adcyap1,ADCYAP1,ADCYAP1,True,True
Adcyap1r1,ADCYAP1R1,ADCYAP1R1,True,True
Add1,ADD1,ADD1,True,True
Add2,ADD2,ADD2,True,True
Add3,ADD3,ADD3,True,True
Adgb,ADGB,ADGB,True,True
Adgra1,ADGRA1,ADGRA1,True,True
Adgra2,ADGRA2,ADGRA2,True,True
Adgra3,ADGRA3,ADGRA3,True,True
Adgrb1,ADGRB1,ADGRB1,True,True
Adgrb2,ADGRB2,ADGRB2,True,True
Adgrb3,ADGRB3,ADGRB3,True,True
Adgrd1,ADGRD1,ADGRD1,True,True
Adgre1,ADGRE1,ADGRE1,False,True
Adgre5,ADGRE5,ADGRE5,True,True
Adgrf2,ADGRF2,ADGRF2,False,True
Adgrf4,ADGRF4,ADGRF4,False,True
Adgrf5,ADGRF5,ADGRF5,True,True
Adgrg1,ADGRG1,ADGRG1,True,True
Adgrg2,ADGRG2,ADGRG2,True,True
Adgrg3,ADGRG3,ADGRG3,True,True
Adgrg4,ADGRG4,ADGRG4,False,True
Adgrg6,ADGRG6,ADGRG6,True,True
Adgrl1,ADGRL1,ADGRL1,True,True
Adgrl2,ADGRL2,ADGRL2,True,True
Adgrl3,ADGRL3,ADGRL3,True,True
Adgrl4,ADGRL4,ADGRL4,True,True
Adgrv1,ADGRV1,ADGRV1,True,True
Adh5,ADH5,ADH5,True,True
Adhfe1,ADHFE1,ADHFE1,True,True
Adi1,ADI1,ADI1,True,True
Adig,ADIG,ADIG,False,True
Adipor1,ADIPOR1,ADIPOR1,True,True
Adipor2,ADIPOR2,ADIPOR2,True,True
Adk,ADK,ADK,True,True
Adm,ADM,ADM,True,True
Adnp,ADNP,ADNP,True,True
