,names,avg_logFC,ct,pheno
195,Nedd4l,-1.13023704845,Astrocytes,spt
113,Fry,-0.9559610974720001,Astrocytes,spt
258,Rere,-0.958144817912,Astrocytes,spt
296,Sptbn1,-0.77868242743,Astrocytes,spt
302,Stox2,-0.8280250301140001,Astrocytes,spt
291,Sorcs2,-1.49007517762,Astrocytes,spt
304,Sybu,-0.919973336806,Astrocytes,spt
305,Syne1,-0.9382134680519999,Astrocytes,spt
280,Sik3,-0.928309628318,Astrocytes,spt
267,Rora,-0.7456836513639999,Astrocytes,spt
264,Rgs6,-0.835643421772,Astrocytes,spt
261,Rfx4,-0.9005928768679999,Astrocytes,spt
248,Ptprn2,-1.25912240596,Astrocytes,spt
197,Nfkb1,-1.29071859504,Astrocytes,spt
247,Ptprm,-1.098916078574,Astrocytes,spt
236,Prkca,-1.092947773746,Astrocytes,spt
223,Peli2,-1.4808986272,Astrocytes,spt
220,Pcsk2,-1.33060122214,Astrocytes,spt
219,Pcp4,-0.770579943788,Astrocytes,spt
311,Tcf7l1,-1.8387772787999999,Astrocytes,spt
216,Park2,-0.837577473504,Astrocytes,spt
214,Pafah1b1,-0.95433786726,Astrocytes,spt
200,Npepps,-0.999302581416,Astrocytes,spt
116,Gabbr2,-1.1900986919999998,Astrocytes,spt
151,Kif21a,-0.96918926211,Astrocytes,spt
299,Srgap3,-0.88456571783,Astrocytes,spt
82,Dlgap1,-0.965285491576,Astrocytes,spt
352,Znrf3,-1.26356207728,Astrocytes,spt
35,Asic2,-1.0221352279459999,Astrocytes,spt
42,Atxn1,-0.81973919878,Astrocytes,spt
110,Foxp1,-1.45264448228,Astrocytes,spt
341,Vti1a,-1.0225488914060001,Astrocytes,spt
53,Camk1d,-2.0699469802,Astrocytes,spt
19,Ankhd1,-1.107928793352,Astrocytes,spt
17,Akap6,-1.067186283156,Astrocytes,spt
59,Cdk8,-1.54124484818,Astrocytes,spt
69,Cmss1,-1.6644742935599999,Astrocytes,spt
67,Clasp2,-0.899432318704,Astrocytes,spt
84,Dock1,-1.34463452304,Astrocytes,spt
93,Enpp2,1.84737274006,Astrocytes,spt
104,Fat3,-0.843334190198,Astrocytes,spt
103,Farp1,-0.8546796342280001,Astrocytes,spt
100,Fam19a5,-0.955372095852,Astrocytes,spt
7,Abr,-0.851228625304,Astrocytes,spt
333,Ttr,8.10969685374,Astrocytes,spt
87,Dpp6,-0.9166435763019999,Astrocytes,spt
95,Exoc6b,-0.92227475821,Astrocytes,spt
229,Plxdc2,-0.9885318559591919,Astrocytes,spt
80,Dip2b,-0.9032384177275455,Astrocytes,spt
205,Nrxn2,-0.9140194842508502,Astrocytes,spt
315,Thrb,-0.9082606182016403,Astrocytes,spt
5,Abat,-0.9935824739295718,Astrocytes,spt
21,Ankrd12,-0.8840862405822328,Astrocytes,spt
90,Dynll2,-0.8483005018991394,Astrocytes,spt
222,Pde7b,-0.9959301943111734,Astrocytes,spt
239,Prrc2c,-0.8002651623903025,Astrocytes,spt
342,Wnk2,-0.9404819459270395,Astrocytes,spt
221,Pde4d,-0.7641290004819277,Astrocytes,spt
283,Sltm,-0.9800995702130653,Astrocytes,spt
332,Ttc3,-0.7132529389909366,Astrocytes,spt
13,Add3,-0.7711353891191292,Astrocytes,spt
292,Sorl1,-0.953367400062601,Astrocytes,spt
142,Jarid2,-0.7153951723104912,Astrocytes,spt
218,Pclo,-0.8211004484452082,Astrocytes,spt
213,Osbpl9,-0.8902242712162983,Astrocytes,spt
109,Fnbp1,-0.7944262848103832,Astrocytes,spt
276,Sema6d,-0.7347986230635017,Astrocytes,spt
4,Aak1,-1.0200320440728678,Astrocytes,spt
45,Bach2,-0.8329833550592078,Astrocytes,spt
313,Tenm2,-0.872690597133784,Astrocytes,spt
14,Agap1,-1.2772026128568494,Astrocytes,spt
287,Snhg11,-0.7091827120086349,Astrocytes,spt
204,Nrg3,-0.8050517561416511,Astrocytes,spt
307,Tanc2,-0.861195754306131,Astrocytes,spt
173,Mapk10,-0.7678107578718535,Astrocytes,spt
257,Rbms3,-0.8000427194772062,Astrocytes,spt
174,Mapk4,-0.8370446676353337,Astrocytes,spt
