names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pheno,lfc,log_adj_pval,region,phenotype,n_control_cells,n_pheno_cells
Nudt21,15.707371,1.2933916,1.3464770539956474e-55,1.747632876929701e-54,0.7108655616942909,tst,1.2933916,123.78133279114314,Ventral/Dorsal,tst,920,543
Mettl16,15.703401,1.5247056,1.4334824892395076e-55,1.8590796769755332e-54,0.6187845303867403,tst,1.5247056,123.71951345373093,Ventral/Dorsal,tst,920,543
Ndufa7,15.703336,1.7436496,1.4349307421561019e-55,1.8594786135634956e-54,0.9742173112338858,tst,1.7436496,123.71929888853748,Ventral/Dorsal,tst,920,543
Phf3,15.701543,1.1740903,1.4760788617440345e-55,1.9097648892183534e-54,0.8011049723756906,tst,1.1740903,123.69261488184678,Ventral/Dorsal,tst,920,543
Nsrp1,15.701543,1.4638635,1.4760788617440345e-55,1.9097648892183534e-54,0.6556169429097606,tst,1.4638635,123.69261488184678,Ventral/Dorsal,tst,920,543
Gon4l,15.6977005,1.2615327,1.5682532886998347e-55,2.0274119835356623e-54,0.6924493554327809,tst,1.2615327,123.63283492693976,Ventral/Dorsal,tst,920,543
Ralbp1,15.697316,1.3219371,1.5777802673436961e-55,2.0381120378951612e-54,0.8176795580110497,tst,1.3219371,123.62757111395563,Ventral/Dorsal,tst,920,543
Arhgap24,15.695522,1.6060156,1.6230072911700474e-55,2.0948744941135482e-54,0.6648250460405156,tst,1.6060156,123.60010137744325,Ventral/Dorsal,tst,920,543
Sucla2,15.692384,1.6579845,1.7052832923677698e-55,2.199329765204065e-54,0.9337016574585635,tst,1.6579845,123.55144235991007,Ventral/Dorsal,tst,920,543
Vps35,15.691167,1.3271704,1.738292454579249e-55,2.2401299284229978e-54,0.852670349907919,tst,1.3271704,123.5330611537334,Ventral/Dorsal,tst,920,543
Pde6d,15.687068,1.1825092,1.8542344401774773e-55,2.3876563857640785e-54,0.6758747697974218,tst,1.1825092,123.46928272856016,Ventral/Dorsal,tst,920,543
Copb2,15.686492,1.6564808,1.871144977901031e-55,2.407530026025462e-54,0.6261510128913443,tst,1.6564808,123.46099368519674,Ventral/Dorsal,tst,920,543
Map2k1,15.683482,1.1960847,1.961983066953635e-55,2.5224170313468583e-54,0.7440147329650092,tst,1.1960847,123.41437744041208,Ventral/Dorsal,tst,920,543
H13,15.683098,1.545382,1.973891171559732e-55,2.5357268619989562e-54,0.6390423572744015,tst,1.545382,123.4091146951631,Ventral/Dorsal,tst,920,543
Rsl24d1,15.682969,1.5311233,1.97787651468818e-55,2.5388459009800562e-54,0.6390423572744015,tst,1.5311233,123.4078854135981,Ventral/Dorsal,tst,920,543
Azi2,15.681945,1.3645035,2.010049120756492e-55,2.578113356929373e-54,0.6850828729281768,tst,1.3645035,123.39253714724788,Ventral/Dorsal,tst,920,543
Map1lc3b,15.678742,1.819488,2.1139863122264985e-55,2.709292835056319e-54,0.9263351749539595,tst,1.819488,123.34290736731299,Ventral/Dorsal,tst,920,543
Asna1,15.6786785,1.5730238,2.11611875214595e-55,2.709895357225709e-54,0.6298342541436464,tst,1.5730238,123.34268500110223,Ventral/Dorsal,tst,920,543
Pdcd2,15.67554,1.8303624,2.2232752601737845e-55,2.844884873732577e-54,0.5930018416206262,tst,1.8303624,123.29407242109379,Ventral/Dorsal,tst,920,543
Fam57b,15.671953,1.7323841,2.3523717813589454e-55,3.007714884683414e-54,0.6040515653775322,tst,1.7323841,123.23841440576038,Ventral/Dorsal,tst,920,543
Nbr1,15.670929,1.3253027,2.3906091361746745e-55,3.0542092584576444e-54,0.6703499079189686,tst,1.3253027,123.2230742977606,Ventral/Dorsal,tst,920,543
Akirin1,15.670416,1.4967211,2.4099593185602338e-55,3.0765197189638947e-54,0.6372007366482505,tst,1.4967211,123.21579602495602,Ventral/Dorsal,tst,920,543
Map2k4,15.669264,1.2436277,2.4540694758321543e-55,3.130378763303269e-54,0.7753222836095764,tst,1.2436277,123.19844101380758,Ventral/Dorsal,tst,920,543
Mtx1,15.665805,1.7889609,2.5912829091442287e-55,3.302822047292355e-54,0.6095764272559853,tst,1.7889609,123.14481775280585,Ventral/Dorsal,tst,920,543
Eif3m,15.665548,1.3504851,2.601745699302338e-55,3.3135670617208374e-54,0.848987108655617,tst,1.3504851,123.1415697503992,Ventral/Dorsal,tst,920,543
Tpm1,15.658504,1.1912379,2.9065588725113837e-55,3.698885459772098e-54,0.7790055248618785,tst,1.1912379,123.0315634744949,Ventral/Dorsal,tst,920,543
Pld3,15.657351,1.3683306,2.9597179443519e-55,3.7635976543544986e-54,0.6740331491712708,tst,1.3683306,123.01421969877335,Ventral/Dorsal,tst,920,543
Ddx24,15.654789,2.1001346,3.081341451263693e-55,3.9152009616914043e-54,0.9705340699815838,tst,2.1001346,122.97472836234202,Ventral/Dorsal,tst,920,543
Ctsl,15.651138,1.5436978,3.2633034455144804e-55,4.1431754492817026e-54,0.9134438305709024,tst,1.5436978,122.91813251111354,Ventral/Dorsal,tst,920,543
Ubtf,15.65069,1.398816,3.2863750309345795e-55,4.169220681268134e-54,0.6832412523020258,tst,1.398816,122.91186589031936,Ventral/Dorsal,tst,920,543
Oaz1,15.648641,1.5201579,3.3939312826109585e-55,4.3023225325912787e-54,0.9852670349907919,tst,1.5201579,122.8804400209349,Ventral/Dorsal,tst,920,543
Appbp2,15.645054,1.228089,3.590657963387216e-55,4.5481667536238076e-54,0.7495395948434622,tst,1.228089,122.82487078119765,Ventral/Dorsal,tst,920,543
Rsrc2,15.643709,1.7201521,3.667323530073509e-55,4.6416698903150886e-54,0.9355432780847146,tst,1.7201521,122.80452083003112,Ventral/Dorsal,tst,920,543
Dhx9,15.640955,1.2990738,3.829429445649546e-55,4.843084470362987e-54,0.7071823204419889,tst,1.2990738,122.76204321666614,Ventral/Dorsal,tst,920,543
Crebzf,15.636279,1.3801845,4.121137593716414e-55,5.2079678335476725e-54,0.6629834254143646,tst,1.3801845,122.68940529314541,Ventral/Dorsal,tst,920,543
Fam174a,15.630579,1.6587803,4.5068741374087024e-55,5.691019534317325e-54,0.9318600368324125,tst,1.6587803,122.60070560957043,Ventral/Dorsal,tst,920,543
Dhx30,15.629042,1.4966913,4.616912783651857e-55,5.82545760054896e-54,0.6316758747697975,tst,1.4966913,122.57735746727806,Ventral/Dorsal,tst,920,543
Utp3,15.625072,1.4257548,4.913721773729583e-55,6.1951656887347e-54,0.6279926335174953,tst,1.4257548,122.51582576139656,Ventral/Dorsal,tst,920,543
Cetn3,15.623534,1.314167,5.033651457137934e-55,6.341467237578254e-54,0.8305709023941068,tst,1.314167,122.49248485451855,Ventral/Dorsal,tst,920,543
Jagn1,15.622125,1.4731153,5.146146036844718e-55,6.47818321950908e-54,0.6353591160220995,tst,1.4731153,122.47115491798426,Ventral/Dorsal,tst,920,543
