l04,figure1_lhb_subregion,best_marker_label,best_marker_score,second_marker_score,n_cells
0,HbX,HbX,0.10243013501167297,0.017463233321905136,843
1,Oval/Medial,Oval/Medial,0.06668076664209366,0.0010921420762315392,11137
2,Marginal,Marginal,0.18559619784355164,0.11311379075050354,217
4,HbX,HbX,0.4543778896331787,0.0991671159863472,969
9,Marginal,Marginal,0.6588488221168518,0.13640828430652618,2021
13,Lateral,Lateral,0.2448747754096985,0.16789181530475616,287
