group,gene,mean_expr,pct_expr,mean_expr_scaled
Polydendrocytes,Snap25,0.43141073,16.225552,0.09808923
Polydendrocytes,Celf4,0.25137112,9.378587,0.020061243
Polydendrocytes,Slc17a6,0.14774898,5.696208,0.05664694
Polydendrocytes,Tac2,0.39575332,14.614491,0.0829111
Polydendrocytes,Gap43,0.49945328,18.642141,0.99999756
Polydendrocytes,Mog,0.17159718,6.4441943,0.051771358
Polydendrocytes,Olig1,2.298768,70.48257,0.9999996
Polydendrocytes,Gpr17,0.4890265,18.469528,0.9999979
Polydendrocytes,Pdgfra,0.7936759,28.53856,0.9999987
Polydendrocytes,Col3a1,0.0027123075,0.1150748,0.0053547965
Polydendrocytes,Slc6a11,0.11248166,4.4303837,0.0021564255
Polydendrocytes,Slc6a1,0.17246568,6.7318797,0.13372998
Polydendrocytes,Slc4a4,0.23672675,9.033364,0.014140464
Polydendrocytes,Cldn5,0.05651022,2.1288843,0.0139949955
Polydendrocytes,Abcc9,0.0048940205,0.1726122,0.002247573
Polydendrocytes,Pdgfrb,0.009894687,0.40276176,0.0020054672
Polydendrocytes,Cx3cr1,0.027296029,1.035673,0.0
Polydendrocytes,C1qa,0.20938416,7.364788,0.024908362
Polydendrocytes,C1qb,0.24109696,8.457993,0.030828584
Polydendrocytes,C1qc,0.1565122,5.811283,0.024214473
Polydendrocytes,Mrc1,0.0063196425,0.2301496,0.0030646352
Polydendrocytes,Apoe,2.5090399,74.164894,0.4830745
Fibroblasts,Snap25,0.4239056,17.758188,0.089822404
Fibroblasts,Celf4,0.31132403,13.602016,0.09655943
Fibroblasts,Slc17a6,0.18059297,7.6826205,0.12795219
Fibroblasts,Tac2,0.4014848,16.624687,0.08925249
Fibroblasts,Gap43,0.09098594,3.778338,0.020047963
Fibroblasts,Mog,0.094458796,3.9042826,0.010936429
Fibroblasts,Olig1,0.14523023,6.4231744,0.020338016
Fibroblasts,Gpr17,0.009038228,0.37783375,0.012476798
Fibroblasts,Pdgfra,0.75156486,32.115875,0.9456584
Fibroblasts,Col3a1,0.39265898,17.128466,0.99999744
Fibroblasts,Slc6a11,0.1438555,5.9193964,0.024362212
Fibroblasts,Slc6a1,0.13214141,5.9193964,0.08391871
Fibroblasts,Slc4a4,0.28506458,13.224183,0.03457609
Fibroblasts,Cldn5,0.05608839,2.770781,0.013797782
Fibroblasts,Abcc9,0.04781489,2.770781,0.05556745
Fibroblasts,Pdgfrb,0.32522264,15.743075,0.2563148
Fibroblasts,Cx3cr1,0.05996277,2.5188918,0.030236213
Fibroblasts,C1qa,0.20452105,8.312344,0.02336082
Fibroblasts,C1qb,0.21579197,8.186399,0.023082713
Fibroblasts,C1qc,0.120670505,4.6599503,0.011152416
Fibroblasts,Mrc1,0.005663547,0.25188917,0.0025852819
Fibroblasts,Apoe,2.824816,80.10077,0.5934667
Astrocytes,Snap25,0.3910569,17.84189,0.05363978
Astrocytes,Celf4,0.24519987,11.283515,0.0121869175
Astrocytes,Slc17a6,0.13588034,6.4174986,0.030879777
Astrocytes,Tac2,0.35787663,16.549028,0.04100366
Astrocytes,Gap43,0.1241291,5.6182494,0.09956137
Astrocytes,Mog,0.07379956,3.4320683,0.0
Astrocytes,Olig1,0.16267487,8.815246,0.028273722
Astrocytes,Gpr17,0.0051411656,0.25858015,0.0044590374
Astrocytes,Pdgfra,0.021301074,0.9402916,0.0033226486
Astrocytes,Col3a1,0.0015993884,0.07052186,0.0025160576
Astrocytes,Slc6a11,1.5223016,57.828667,0.99999934
Astrocytes,Slc6a1,0.87374586,40.03306,0.99999875
Astrocytes,Slc4a4,2.5686493,80.16133,0.9999996
Astrocytes,Cldn5,0.026575563,1.2223794,0.0
Astrocytes,Abcc9,0.004380041,0.18805832,0.0016090648
Astrocytes,Pdgfrb,0.12530492,7.4753284,0.09508286
Astrocytes,Cx3cr1,0.043365583,2.3037167,0.014873918
