region,pheno,n_region_de_genes
Hbx,resilient,4
Hbx,si,1428
Hbx,spt,1523
Hbx,tst,5855
Lateral,resilient,1
Lateral,spt,2
Lateral,susceptible,1
Marginal,resilient,79
Marginal,si,19
Marginal,spt,7
Marginal,susceptible,62
Marginal,tst,12
Oval-Medial,resilient,253
Oval-Medial,si,477
Oval-Medial,spt,269
Oval-Medial,susceptible,823
Oval-Medial,tst,68
